"Year","Intent","Ethnicity","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2017","Unintentional","Non-Hispanic","Maryland","--","5,426,760","--","--","--"
"2017","Unintentional","Non-Hispanic","Massachusetts","--","6,055,699","--","--","--"
"2017","Unintentional","Non-Hispanic","Michigan","--","9,466,830","--","--","--"
"2017","Unintentional","Non-Hispanic","Minnesota","--","5,268,793","--","--","--"
"2017","Unintentional","Non-Hispanic","Mississippi","15**","2,895,068","0.52**","0.54**","657"
"2017","Unintentional","Non-Hispanic","Missouri","29","5,855,450","0.50","0.52","998"
"2017","Unintentional","Non-Hispanic","Montana","--","1,013,035","--","--","--"
"2017","Unintentional","Non-Hispanic","Nebraska","--","1,707,112","--","--","--"
"2017","Unintentional","Non-Hispanic","Nevada","--","2,121,706","--","--","--"
"2017","Unintentional","Non-Hispanic","New Hampshire","--","1,299,866","--","--","--"
"2017","Unintentional","Non-Hispanic","New Jersey","--","7,102,703","--","--","--"
"2017","Unintentional","Non-Hispanic","New Mexico","--","1,069,329","--","--","--"
"2017","Unintentional","Non-Hispanic","New York","--","15,884,786","--","--","--"
"2017","Unintentional","Non-Hispanic","North Carolina","40","9,316,803","0.43","0.43","1,028"
"2017","Unintentional","Non-Hispanic","Ohio","19**","11,220,032","0.17**","0.18**","530"
"2017","Unintentional","Non-Hispanic","Oklahoma","--","3,512,750","--","--","--"
"2017","Unintentional","Non-Hispanic","Oregon","--","3,608,002","--","--","--"
"2017","Unintentional","Non-Hispanic","Pennsylvania","13**","11,856,218","0.11**","0.12**","528"
"2017","Unintentional","Non-Hispanic","South Carolina","15**","4,742,317","0.32**","0.34**","666"
"2017","Unintentional","Non-Hispanic","South Dakota","--","838,442","--","--","--"
"2017","Unintentional","Non-Hispanic","Tennessee","22","6,350,852","0.35","0.34","532"
"2017","Unintentional","Non-Hispanic","Texas","22","17,192,747","0.13","0.13","653"
"2017","Unintentional","Non-Hispanic","Vermont","--","612,970","--","--","--"
"2017","Unintentional","Non-Hispanic","Virginia","--","7,680,172","--","--","--"
"2017","Unintentional","Non-Hispanic","Washington","--","6,483,240","--","--","--"
"2017","Unintentional","Non-Hispanic","West Virginia","--","1,789,521","--","--","--"
"2017","Unintentional","Non-Hispanic","Wisconsin","--","5,394,903","--","--","--"
"2017","Unintentional","Non-Hispanic","Wyoming","--","521,748","--","--","--"
"2017","Unintentional","Hispanic","Arkansas","--","225,078","--","--","--"
"2017","Unintentional","Hispanic","California","12**","15,291,922","0.08**","0.07**","480"
"2017","Unintentional","Hispanic","Colorado","--","1,207,176","--","--","--"
"2017","Unintentional","Hispanic","Connecticut","--","573,050","--","--","--"
"2017","Unintentional","Hispanic","Delaware","0**","88,549","0.00**","0.00**","--"
"2017","Unintentional","Hispanic","District of Columbia","0**","76,328","0.00**","0.00**","--"
"2017","Unintentional","Hispanic","Florida","--","5,331,295","--","--","--"
"2017","Unintentional","Hispanic","Georgia","--","988,871","--","--","--"
"2017","Unintentional","Hispanic","Illinois","--","2,177,135","--","--","--"
"2017","Unintentional","Hispanic","Kansas","--","346,287","--","--","--"
"2017","Unintentional","Hispanic","Missouri","--","255,932","--","--","--"
"2017","Unintentional","Hispanic","New Mexico","--","1,023,515","--","--","--"
"2017","Unintentional","Hispanic","New York","--","3,709,063","--","--","--"
"2017","Unintentional","Hispanic","North Carolina","--","958,955","--","--","--"
"2017","Unintentional","Hispanic","Texas","10**","11,098,277","0.09**","0.09**","380"
"2017","Unintentional","Hispanic","Utah","--","433,750","--","--","--"
"2017","Unintentional","Hispanic","Washington","--","944,711","--","--","--"
"2017","Unintentional","Unknown","West Virginia","--","--","--","--","--"
"2017","Homicide","Non-Hispanic","Alabama","496","4,669,265","10.62","11.22","15,452"
"2017","Homicide","Non-Hispanic","Alaska","39","687,978","5.67","5.65","1,146"
"2017","Homicide","Non-Hispanic","Arizona","167","4,840,768","3.45","3.66","4,511"
"2017","Homicide","Non-Hispanic","Arkansas","181","2,778,777","6.51","7.03","5,574"
"2017","Homicide","Non-Hispanic","California","747","24,045,863","3.11","3.24","21,478"
"2017","Homicide","Non-Hispanic","Colorado","100","4,410,245","2.27","2.26","2,987"
"2017","Homicide","Non-Hispanic","Connecticut","57","3,002,274","1.90","2.18","1,945"
"2017","Homicide","Non-Hispanic","Delaware","56","869,393","6.44","6.90","2,029"
"2017","Homicide","Non-Hispanic","District of Columbia","84","620,751","13.53","12.20","2,824"
"2017","Homicide","Non-Hispanic","Florida","812","15,645,794","5.19","5.88","25,183"
"2017","Homicide","Non-Hispanic","Georgia","633","9,428,160","6.71","6.81","20,790"
"2017","Homicide","Non-Hispanic","Hawaii","--","1,274,119","--","--","--"
"2017","Homicide","Non-Hispanic","Idaho","24","1,503,753","1.60","1.74","735"
"2017","Homicide","Non-Hispanic","Illinois","789","10,602,758","7.44","7.95","28,612"
"2017","Homicide","Non-Hispanic","Indiana","355","6,200,943","5.73","6.03","11,651"
"2017","Homicide","Non-Hispanic","Iowa","63","2,954,491","2.13","2.27","1,955"
"2017","Homicide","Non-Hispanic","Kansas","116","2,564,605","4.52","4.78","3,594"
"2017","Homicide","Non-Hispanic","Kentucky","217","4,290,696","5.06","5.33","6,851"
"2017","Homicide","Non-Hispanic","Louisiana","513","4,435,863","11.57","11.98","17,156"
"2017","Homicide","Non-Hispanic","Maine","10**","1,313,611","0.76**","0.74**","223"
"2017","Homicide","Non-Hispanic","Maryland","438","5,426,760","8.07","8.61","14,951"
"2017","Homicide","Non-Hispanic","Massachusetts","70","6,055,699","1.16","1.27","2,572"
"2017","Homicide","Non-Hispanic","Michigan","417","9,466,830","4.41","4.69","13,202"
"2017","Homicide","Non-Hispanic","Minnesota","73","5,268,793","1.39","1.46","2,287"
"2017","Homicide","Non-Hispanic","Mississippi","289","2,895,068","9.98","10.50","8,838"
"2017","Homicide","Non-Hispanic","Missouri","547","5,855,450","9.34","9.90","17,518"
"2017","Homicide","Non-Hispanic","Montana","21","1,013,035","2.07","2.27","547"
"2017","Homicide","Non-Hispanic","Nebraska","23","1,707,112","1.35","1.40","706"
"2017","Homicide","Non-Hispanic","Nevada","115","2,121,706","5.42","5.94","3,402"
"2017","Homicide","Non-Hispanic","New Hampshire","--","1,299,866","--","--","--"
"2017","Homicide","Non-Hispanic","New Jersey","218","7,102,703","3.07","3.42","7,306"
"2017","Homicide","Non-Hispanic","New Mexico","36","1,069,329","3.37","3.50","976"
"2017","Homicide","Non-Hispanic","New York","245","15,884,786","1.54","1.59","7,924"
"2017","Homicide","Non-Hispanic","North Carolina","491","9,316,803","5.27","5.49","15,254"
"2017","Homicide","Non-Hispanic","North Dakota","--","728,054","--","--","--"
"2017","Homicide","Non-Hispanic","Ohio","612","11,220,032","5.46","5.86","20,327"
"2017","Homicide","Non-Hispanic","Oklahoma","207","3,512,750","5.89","6.34","6,346"
"2017","Homicide","Non-Hispanic","Oregon","62","3,608,002","1.72","1.82","1,564"
"2017","Homicide","Non-Hispanic","Pennsylvania","529","11,856,218","4.46","4.84","17,871"
"2017","Homicide","Non-Hispanic","Rhode Island","10**","893,494","1.12**","1.21**","362"
"2017","Homicide","Non-Hispanic","South Carolina","326","4,742,317","6.87","7.33","10,096"
"2017","Homicide","Non-Hispanic","South Dakota","11**","838,442","1.31**","1.53**","409"
"2017","Homicide","Non-Hispanic","Tennessee","448","6,350,852","7.05","7.56","14,596"
"2017","Homicide","Non-Hispanic","Texas","852","17,192,747","4.96","5.01","25,876"
"2017","Homicide","Non-Hispanic","Utah","39","2,669,790","1.46","1.50","1,246"
"2017","Homicide","Non-Hispanic","Vermont","--","612,970","--","--","--"
"2017","Homicide","Non-Hispanic","Virginia","331","7,680,172","4.31","4.34","10,493"
"2017","Homicide","Non-Hispanic","Washington","119","6,483,240","1.84","1.86","3,421"
"2017","Homicide","Non-Hispanic","West Virginia","66","1,789,521","3.69","3.99","1,575"
"2017","Homicide","Non-Hispanic","Wisconsin","152","5,394,903","2.82","3.01","4,961"
"2017","Homicide","Non-Hispanic","Wyoming","--","521,748","--","--","--"
"2017","Homicide","Hispanic","Alabama","10**","208,724","4.79**","4.48**","368"
"2017","Homicide","Hispanic","Alaska","--","53,005","--","--","--"
"2017","Homicide","Hispanic","Arizona","134","2,207,320","6.07","5.52","4,770"
"2017","Homicide","Hispanic","Arkansas","--","225,078","--","--","--"
"2017","Homicide","Hispanic","California","688","15,291,922","4.50","4.15","23,745"
"2017","Homicide","Hispanic","Colorado","60","1,207,176","4.97","4.69","2,026"
"2017","Homicide","Hispanic","Connecticut","16**","573,050","2.79**","2.42**","584"
"2017","Homicide","Hispanic","Delaware","--","88,549","--","--","--"
"2017","Homicide","Hispanic","District of Columbia","--","76,328","--","--","--"
"2017","Homicide","Hispanic","Florida","130","5,331,295","2.44","2.39","4,454"
"2017","Homicide","Hispanic","Georgia","33","988,871","3.34","3.01","1,229"
"2017","Homicide","Hispanic","Hawaii","0**","151,644","0.00**","0.00**","--"
"2017","Homicide","Hispanic","Idaho","--","215,992","--","--","--"
"2017","Homicide","Hispanic","Illinois","138","2,177,135","6.34","5.56","5,256"
"2017","Homicide","Hispanic","Indiana","16**","461,125","3.47**","3.60**","507"
"2017","Homicide","Hispanic","Iowa","--","189,243","--","--","--"
"2017","Homicide","Hispanic","Kansas","21","346,287","6.06","5.68","723"
"2017","Homicide","Hispanic","Kentucky","11**","164,894","6.67**","6.25**","394"
"2017","Homicide","Hispanic","Louisiana","19**","237,810","7.99**","7.98**","562"
"2017","Homicide","Hispanic","Maine","0**","22,132","0.00**","0.00**","--"
"2017","Homicide","Hispanic","Maryland","15**","601,426","2.49**","2.42**","548"
"2017","Homicide","Hispanic","Massachusetts","33","807,861","4.09","3.62","1,152"
"2017","Homicide","Hispanic","Michigan","20**","509,922","3.92**","3.46**","770"
"2017","Homicide","Hispanic","Minnesota","--","300,490","--","--","--"
"2017","Homicide","Hispanic","Mississippi","--","95,606","--","--","--"
"2017","Homicide","Hispanic","Missouri","17**","255,932","6.64**","6.47**","557"
"2017","Homicide","Hispanic","Montana","0**","40,827","0.00**","0.00**","--"
"2017","Homicide","Hispanic","Nebraska","--","209,886","--","--","--"
"2017","Homicide","Hispanic","Nevada","38","850,391","4.47","3.93","1,453"
"2017","Homicide","Hispanic","New Hampshire","0**","50,529","0.00**","0.00**","--"
"2017","Homicide","Hispanic","New Jersey","43","1,785,444","2.41","2.22","1,492"
"2017","Homicide","Hispanic","New Mexico","65","1,023,515","6.35","6.54","2,169"
"2017","Homicide","Hispanic","New York","65","3,709,063","1.75","1.66","2,324"
"2017","Homicide","Hispanic","North Carolina","31","958,955","3.23","3.40","929"
"2017","Homicide","Hispanic","North Dakota","0**","28,701","0.00**","0.00**","--"
"2017","Homicide","Hispanic","Ohio","--","445,674","--","--","--"
"2017","Homicide","Hispanic","Oklahoma","19**","420,852","4.52**","3.94**","744"
"2017","Homicide","Hispanic","Oregon","11**","539,292","2.04**","1.66**","454"
"2017","Homicide","Hispanic","Pennsylvania","71","938,461","7.57","6.66","2,616"
"2017","Homicide","Hispanic","Rhode Island","0**","163,060","0.00**","0.00**","--"
"2017","Homicide","Hispanic","South Carolina","12**","284,785","4.21**","3.88**","454"
"2017","Homicide","Hispanic","South Dakota","0**","35,290","0.00**","0.00**","--"
"2017","Homicide","Hispanic","Tennessee","19**","363,896","5.22**","5.16**","671"
"2017","Homicide","Hispanic","Texas","400","11,098,277","3.60","3.45","13,586"
"2017","Homicide","Hispanic","Utah","14**","433,750","3.23**","2.79**","550"
"2017","Homicide","Hispanic","Vermont","0**","12,162","0.00**","0.00**","--"
"2017","Homicide","Hispanic","Virginia","12**","790,839","1.52**","1.38**","425"
"2017","Homicide","Hispanic","Washington","46","944,711","4.87","4.01","1,862"
"2017","Homicide","Hispanic","West Virginia","--","29,162","--","--","--"
"2017","Homicide","Hispanic","Wisconsin","--","398,244","--","--","--"
"2017","Homicide","Hispanic","Wyoming","0**","58,246","0.00**","0.00**","--"
"2017","Homicide","Unknown","Arizona","--","--","--","--","--"
"2017","Homicide","Unknown","Arkansas","--","--","--","--","--"
"2017","Homicide","Unknown","Florida","--","--","--","--","--"
"2017","Homicide","Unknown","Illinois","--","--","--","--","--"
"2017","Homicide","Unknown","Louisiana","--","--","--","--","--"
"2017","Homicide","Unknown","Maryland","--","--","--","--","--"
"2017","Homicide","Unknown","Michigan","--","--","--","--","--"
"2017","Homicide","Unknown","Mississippi","--","--","--","--","--"
"2017","Homicide","Unknown","New York","--","--","--","--","--"
"2017","Homicide","Unknown","Oklahoma","--","--","--","--","--"
"2017","Homicide","Unknown","Pennsylvania","--","--","--","--","--"
"2017","Homicide","Unknown","Texas","--","--","--","--","--"
"2017","Homicide","Unknown","Virginia","--","--","--","--","--"
"2017","Legal Intervention","Non-Hispanic","Alabama","--","4,669,265","--","--","--"
"2017","Legal Intervention","Non-Hispanic","Alaska","--","687,978","--","--","--"
"2017","Legal Intervention","Non-Hispanic","Arizona","--","4,840,768","--","--","--"
"2017","Legal Intervention","Non-Hispanic","Arkansas","--","2,778,777","--","--","--"
"2017","Legal Intervention","Non-Hispanic","California","42","24,045,863","0.18","0.17","1,163"
"2017","Legal Intervention","Non-Hispanic","Colorado","14**","4,410,245","0.32**","0.31**","400"
"2017","Legal Intervention","Non-Hispanic","Connecticut","--","3,002,274","--","--","--"
"2017","Legal Intervention","Non-Hispanic","Delaware","--","869,393","--","--","--"
"2017","Legal Intervention","Non-Hispanic","District of Columbia","--","620,751","--","--","--"
"2017","Legal Intervention","Non-Hispanic","Florida","12**","15,645,794","0.08**","0.08**","327"
"2017","Legal Intervention","Non-Hispanic","Georgia","19**","9,428,160","0.20**","0.21**","510"
"2017","Legal Intervention","Non-Hispanic","Hawaii","--","1,274,119","--","--","--"
"2017","Legal Intervention","Non-Hispanic","Idaho","--","1,503,753","--","--","--"
"2017","Legal Intervention","Non-Hispanic","Illinois","10**","10,602,758","0.09**","0.10**","313"
"2017","Legal Intervention","Non-Hispanic","Indiana","13**","6,200,943","0.21**","0.23**","344"
"2017","Legal Intervention","Non-Hispanic","Iowa","--","2,954,491","--","--","--"
"2017","Legal Intervention","Non-Hispanic","Kansas","--","2,564,605","--","--","--"
"2017","Legal Intervention","Non-Hispanic","Kentucky","11**","4,290,696","0.26**","0.26**","291"
"2017","Legal Intervention","Non-Hispanic","Louisiana","11**","4,435,863","0.25**","0.26**","311"
"2017","Legal Intervention","Non-Hispanic","Maine","--","1,313,611","--","--","--"
"2017","Legal Intervention","Non-Hispanic","Maryland","--","5,426,760","--","--","--"
"2017","Legal Intervention","Non-Hispanic","Massachusetts","--","6,055,699","--","--","--"
"2017","Legal Intervention","Non-Hispanic","Michigan","--","9,466,830","--","--","--"
"2017","Legal Intervention","Non-Hispanic","Minnesota","--","5,268,793","--","--","--"
"2017","Legal Intervention","Non-Hispanic","Mississippi","--","2,895,068","--","--","--"
"2017","Legal Intervention","Non-Hispanic","Missouri","--","5,855,450","--","--","--"
"2017","Legal Intervention","Non-Hispanic","Montana","--","1,013,035","--","--","--"
"2017","Legal Intervention","Non-Hispanic","Nevada","12**","2,121,706","0.57**","0.58**","284"
"2017","Legal Intervention","Non-Hispanic","New Hampshire","--","1,299,866","--","--","--"
"2017","Legal Intervention","Non-Hispanic","New Jersey","--","7,102,703","--","--","--"
"2017","Legal Intervention","Non-Hispanic","New Mexico","--","1,069,329","--","--","--"
"2017","Legal Intervention","Non-Hispanic","New York","10**","15,884,786","0.06**","0.06**","248"
"2017","Legal Intervention","Non-Hispanic","North Carolina","16**","9,316,803","0.17**","0.18**","491"
"2017","Legal Intervention","Non-Hispanic","North Dakota","--","728,054","--","--","--"
"2017","Legal Intervention","Non-Hispanic","Ohio","21","11,220,032","0.19","0.21","622"
"2017","Legal Intervention","Non-Hispanic","Oklahoma","--","3,512,750","--","--","--"
"2017","Legal Intervention","Non-Hispanic","Oregon","--","3,608,002","--","--","--"
"2017","Legal Intervention","Non-Hispanic","Pennsylvania","21","11,856,218","0.18","0.18","488"
"2017","Legal Intervention","Non-Hispanic","South Carolina","--","4,742,317","--","--","--"
"2017","Legal Intervention","Non-Hispanic","South Dakota","--","838,442","--","--","--"
"2017","Legal Intervention","Non-Hispanic","Tennessee","17**","6,350,852","0.27**","0.29**","483"
"2017","Legal Intervention","Non-Hispanic","Texas","25","17,192,747","0.15","0.15","746"
"2017","Legal Intervention","Non-Hispanic","Utah","--","2,669,790","--","--","--"
"2017","Legal Intervention","Non-Hispanic","Virginia","12**","7,680,172","0.16**","0.18**","357"
"2017","Legal Intervention","Non-Hispanic","Washington","28","6,483,240","0.43","0.45","809"
"2017","Legal Intervention","Non-Hispanic","West Virginia","--","1,789,521","--","--","--"
"2017","Legal Intervention","Non-Hispanic","Wisconsin","15**","5,394,903","0.28**","0.30**","411"
"2017","Legal Intervention","Non-Hispanic","Wyoming","--","521,748","--","--","--"
"2017","Legal Intervention","Hispanic","Alaska","--","53,005","--","--","--"
"2017","Legal Intervention","Hispanic","Arizona","--","2,207,320","--","--","--"
"2017","Legal Intervention","Hispanic","California","44","15,291,922","0.29","0.27","1,455"
"2017","Legal Intervention","Hispanic","Colorado","--","1,207,176","--","--","--"
"2017","Legal Intervention","Hispanic","Connecticut","--","573,050","--","--","--"
"2017","Legal Intervention","Hispanic","Delaware","0**","88,549","0.00**","0.00**","--"
"2017","Legal Intervention","Hispanic","District of Columbia","0**","76,328","0.00**","0.00**","--"
"2017","Legal Intervention","Hispanic","Florida","--","5,331,295","--","--","--"
"2017","Legal Intervention","Hispanic","Georgia","--","988,871","--","--","--"
"2017","Legal Intervention","Hispanic","Hawaii","--","151,644","--","--","--"
"2017","Legal Intervention","Hispanic","Kentucky","--","164,894","--","--","--"
"2017","Legal Intervention","Hispanic","Mississippi","--","95,606","--","--","--"
"2017","Legal Intervention","Hispanic","Missouri","0**","255,932","0.00**","0.00**","--"
"2017","Legal Intervention","Hispanic","Montana","0**","40,827","0.00**","0.00**","--"
"2017","Legal Intervention","Hispanic","Nevada","--","850,391","--","--","--"
"2017","Legal Intervention","Hispanic","New Hampshire","0**","50,529","0.00**","0.00**","--"
"2017","Legal Intervention","Hispanic","New Jersey","--","1,785,444","--","--","--"
"2017","Legal Intervention","Hispanic","New Mexico","14**","1,023,515","1.37**","1.43**","376"
"2017","Legal Intervention","Hispanic","New York","--","3,709,063","--","--","--"
"2017","Legal Intervention","Hispanic","North Carolina","--","958,955","--","--","--"
"2017","Legal Intervention","Hispanic","North Dakota","0**","28,701","0.00**","0.00**","--"
"2017","Legal Intervention","Hispanic","Ohio","0**","445,674","0.00**","0.00**","--"
"2017","Legal Intervention","Hispanic","Oregon","--","539,292","--","--","--"
"2017","Legal Intervention","Hispanic","Texas","12**","11,098,277","0.11**","0.11**","382"
"2017","Legal Intervention","Hispanic","Utah","--","433,750","--","--","--"
"2017","Legal Intervention","Hispanic","Vermont","0**","12,162","0.00**","0.00**","--"
"2017","Legal Intervention","Hispanic","Virginia","--","790,839","--","--","--"
"2017","Legal Intervention","Hispanic","Washington","--","944,711","--","--","--"
"2017","Legal Intervention","Hispanic","West Virginia","0**","29,162","0.00**","0.00**","--"
"2017","Legal Intervention","Hispanic","Wisconsin","--","398,244","--","--","--"
"2017","Legal Intervention","Hispanic","Wyoming","0**","58,246","0.00**","0.00**","--"
"2017","Suicide","Non-Hispanic","Alabama","568","4,669,265","12.17","11.29","9,455"
"2017","Suicide","Non-Hispanic","Alaska","115","687,978","16.72","16.79","2,982"
"2017","Suicide","Non-Hispanic","Arizona","676","4,840,768","13.97","12.42","10,452"
"2017","Suicide","Non-Hispanic","Arkansas","385","2,778,777","13.86","13.00","6,546"
"2017","Suicide","Non-Hispanic","California","1,354","24,045,863","5.63","4.80","18,439"
"2017","Suicide","Non-Hispanic","Colorado","522","4,410,245","11.84","10.89","9,894"
"2017","Suicide","Non-Hispanic","Connecticut","106","3,002,274","3.53","3.16","1,593"
"2017","Suicide","Non-Hispanic","Delaware","50","869,393","5.75","5.42","794"
"2017","Suicide","Non-Hispanic","District of Columbia","--","620,751","--","--","--"
"2017","Suicide","Non-Hispanic","Florida","1,566","15,645,794","10.01","8.57","21,855"
"2017","Suicide","Non-Hispanic","Georgia","877","9,428,160","9.30","8.90","16,671"
"2017","Suicide","Non-Hispanic","Hawaii","29","1,274,119","2.28","1.91","355"
"2017","Suicide","Non-Hispanic","Idaho","228","1,503,753","15.16","14.73","4,330"
"2017","Suicide","Non-Hispanic","Illinois","549","10,602,758","5.18","4.79","9,220"
"2017","Suicide","Non-Hispanic","Indiana","592","6,200,943","9.55","9.19","12,004"
"2017","Suicide","Non-Hispanic","Iowa","220","2,954,491","7.45","6.94","4,012"
"2017","Suicide","Non-Hispanic","Kansas","301","2,564,605","11.74","11.25","5,963"
"2017","Suicide","Non-Hispanic","Kentucky","468","4,290,696","10.91","10.36","8,321"
"2017","Suicide","Non-Hispanic","Louisiana","430","4,435,863","9.69","9.37","8,421"
"2017","Suicide","Non-Hispanic","Maine","151","1,313,611","11.50","10.17","2,217"
"2017","Suicide","Non-Hispanic","Maryland","269","5,426,760","4.96","4.49","4,322"
"2017","Suicide","Non-Hispanic","Massachusetts","143","6,055,699","2.36","2.10","2,564"
"2017","Suicide","Non-Hispanic","Michigan","660","9,466,830","6.97","6.37","11,148"
"2017","Suicide","Non-Hispanic","Minnesota","356","5,268,793","6.76","6.48","6,812"
"2017","Suicide","Non-Hispanic","Mississippi","294","2,895,068","10.16","9.78","5,215"
"2017","Suicide","Non-Hispanic","Missouri","693","5,855,450","11.84","11.20","13,238"
"2017","Suicide","Non-Hispanic","Montana","207","1,013,035","20.43","19.40","3,571"
"2017","Suicide","Non-Hispanic","Nebraska","120","1,707,112","7.03","6.79","2,344"
"2017","Suicide","Non-Hispanic","Nevada","297","2,121,706","14.00","12.65","4,822"
"2017","Suicide","Non-Hispanic","New Hampshire","132","1,299,866","10.16","9.49","2,578"
"2017","Suicide","Non-Hispanic","New Jersey","195","7,102,703","2.75","2.47","2,751"
"2017","Suicide","Non-Hispanic","New Mexico","186","1,069,329","17.39","15.02","2,852"
"2017","Suicide","Non-Hispanic","New York","413","15,884,786","2.60","2.33","6,310"
"2017","Suicide","Non-Hispanic","North Carolina","820","9,316,803","8.80","8.12","13,715"
"2017","Suicide","Non-Hispanic","North Dakota","88","728,054","12.09","11.65","2,142"
"2017","Suicide","Non-Hispanic","Ohio","908","11,220,032","8.09","7.70","16,686"
"2017","Suicide","Non-Hispanic","Oklahoma","423","3,512,750","12.04","11.26","8,539"
"2017","Suicide","Non-Hispanic","Oregon","424","3,608,002","11.75","10.61","6,849"
"2017","Suicide","Non-Hispanic","Pennsylvania","965","11,856,218","8.14","7.34","15,685"
"2017","Suicide","Non-Hispanic","Rhode Island","31","893,494","3.47","3.12","477"
"2017","Suicide","Non-Hispanic","South Carolina","520","4,742,317","10.97","10.25","9,279"
"2017","Suicide","Non-Hispanic","South Dakota","83","838,442","9.90","9.88","1,587"
"2017","Suicide","Non-Hispanic","Tennessee","698","6,350,852","10.99","10.32","12,245"
"2017","Suicide","Non-Hispanic","Texas","1,818","17,192,747","10.57","9.90","33,218"
"2017","Suicide","Non-Hispanic","Utah","325","2,669,790","12.17","12.82","7,306"
"2017","Suicide","Non-Hispanic","Vermont","60","612,970","9.79","10.21","1,253"
"2017","Suicide","Non-Hispanic","Virginia","658","7,680,172","8.57","8.01","12,310"
"2017","Suicide","Non-Hispanic","Washington","605","6,483,240","9.33","8.53","10,164"
"2017","Suicide","Non-Hispanic","West Virginia","266","1,789,521","14.86","13.98","4,283"
"2017","Suicide","Non-Hispanic","Wisconsin","424","5,394,903","7.86","7.29","7,677"
"2017","Suicide","Non-Hispanic","Wyoming","93","521,748","17.83","16.63","1,775"
"2017","Suicide","Hispanic","Alabama","--","208,724","--","--","--"
"2017","Suicide","Hispanic","Alaska","--","53,005","--","--","--"
"2017","Suicide","Hispanic","Arizona","94","2,207,320","4.26","4.40","2,785"
"2017","Suicide","Hispanic","Arkansas","--","225,078","--","--","--"
"2017","Suicide","Hispanic","California","254","15,291,922","1.66","1.80","6,530"
"2017","Suicide","Hispanic","Colorado","68","1,207,176","5.63","5.87","2,081"
"2017","Suicide","Hispanic","Connecticut","--","573,050","--","--","--"
"2017","Suicide","Hispanic","Delaware","0**","88,549","0.00**","0.00**","--"
"2017","Suicide","Hispanic","District of Columbia","--","76,328","--","--","--"
"2017","Suicide","Hispanic","Florida","152","5,331,295","2.85","2.81","3,249"
"2017","Suicide","Hispanic","Georgia","31","988,871","3.14","3.41","945"
"2017","Suicide","Hispanic","Hawaii","--","151,644","--","--","--"
"2017","Suicide","Hispanic","Idaho","16**","215,992","7.41**","7.49**","526"
"2017","Suicide","Hispanic","Illinois","25","2,177,135","1.15","1.12","756"
"2017","Suicide","Hispanic","Indiana","12**","461,125","2.60**","3.29**","345"
"2017","Suicide","Hispanic","Iowa","--","189,243","--","--","--"
"2017","Suicide","Hispanic","Kansas","15**","346,287","4.33**","4.61**","502"
"2017","Suicide","Hispanic","Kentucky","--","164,894","--","--","--"
"2017","Suicide","Hispanic","Louisiana","12**","237,810","5.05**","5.65**","263"
"2017","Suicide","Hispanic","Maine","0**","22,132","0.00**","0.00**","--"
"2017","Suicide","Hispanic","Maryland","--","601,426","--","--","--"
"2017","Suicide","Hispanic","Massachusetts","--","807,861","--","--","--"
"2017","Suicide","Hispanic","Michigan","21","509,922","4.12","4.17","672"
"2017","Suicide","Hispanic","Minnesota","--","300,490","--","--","--"
"2017","Suicide","Hispanic","Mississippi","--","95,606","--","--","--"
"2017","Suicide","Hispanic","Missouri","--","255,932","--","--","--"
"2017","Suicide","Hispanic","Montana","--","40,827","--","--","--"
"2017","Suicide","Hispanic","Nebraska","--","209,886","--","--","--"
"2017","Suicide","Hispanic","Nevada","32","850,391","3.76","3.84","980"
"2017","Suicide","Hispanic","New Hampshire","0**","50,529","0.00**","0.00**","--"
"2017","Suicide","Hispanic","New Jersey","--","1,785,444","--","--","--"
"2017","Suicide","Hispanic","New Mexico","74","1,023,515","7.23","7.27","2,022"
"2017","Suicide","Hispanic","New York","15**","3,709,063","0.40**","0.41**","459"
"2017","Suicide","Hispanic","North Carolina","19**","958,955","1.98**","2.28**","644"
"2017","Suicide","Hispanic","North Dakota","--","28,701","--","--","--"
"2017","Suicide","Hispanic","Ohio","10**","445,674","2.24**","2.57**","284"
"2017","Suicide","Hispanic","Oklahoma","16**","420,852","3.80**","4.26**","481"
"2017","Suicide","Hispanic","Oregon","14**","539,292","2.60**","3.68**","305"
"2017","Suicide","Hispanic","Pennsylvania","22","938,461","2.34","2.57","581"
"2017","Suicide","Hispanic","Rhode Island","--","163,060","--","--","--"
"2017","Suicide","Hispanic","South Carolina","11**","284,785","3.86**","3.80**","333"
"2017","Suicide","Hispanic","South Dakota","0**","35,290","0.00**","0.00**","--"
"2017","Suicide","Hispanic","Tennessee","12**","363,896","3.30**","4.66**","391"
"2017","Suicide","Hispanic","Texas","334","11,098,277","3.01","3.08","9,803"
"2017","Suicide","Hispanic","Utah","19**","433,750","4.38**","4.58**","589"
"2017","Suicide","Hispanic","Vermont","--","12,162","--","--","--"
"2017","Suicide","Hispanic","Virginia","12**","790,839","1.52**","1.28**","496"
"2017","Suicide","Hispanic","Washington","34","944,711","3.60","3.93","1,063"
"2017","Suicide","Hispanic","West Virginia","--","29,162","--","--","--"
"2017","Suicide","Hispanic","Wisconsin","11**","398,244","2.76**","2.34**","446"
"2017","Suicide","Hispanic","Wyoming","--","58,246","--","--","--"
"2017","Suicide","Unknown","Arizona","22","--","0.00","0.00","311"
"2017","Suicide","Unknown","California","--","--","--","--","--"
"2017","Suicide","Unknown","Colorado","--","--","--","--","--"
