"Year","Intent","Age Group","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2019","Suicide","55 to 59","2,265","21,871,091","10.36","--","18,033"
"2019","Suicide","60 to 64","2,001","20,560,134","9.73","--","6,127"
"2019","Suicide","65 to 69","1,675","17,444,367","9.60","--","0"
"2019","Suicide","70 to 74","1,455","14,026,977","10.37","--","0"
"2019","Suicide","75 to 79","1,333","9,650,824","13.81","--","0"
"2019","Suicide","80 to 84","911","6,315,100","14.43","--","0"
"2019","Suicide","85+","1,018","6,599,467","15.43","--","0"
"2019","Suicide","Unknown","--","--","--","--","--"
"2019","Undetermined","0 to 4","--","19,571,339","--","--","--"
"2019","Undetermined","5 to 9","--","20,221,753","--","--","--"
"2019","Undetermined","10 to 14","10**","20,820,053","0.05**","--","530"
"2019","Undetermined","15 to 19","46","21,066,423","0.22","--","2,201"
"2019","Undetermined","20 to 24","54","21,643,974","0.25","--","2,341"
"2019","Undetermined","25 to 29","41","23,539,452","0.17","--","1,570"
"2019","Undetermined","30 to 34","27","22,464,232","0.12","--","883"
"2019","Undetermined","35 to 39","22","21,753,883","0.10","--","614"
"2019","Undetermined","40 to 44","23","19,920,561","0.12","--","528"
"2019","Undetermined","45 to 49","25","20,390,439","0.12","--","443"
"2019","Undetermined","50 to 54","22","20,469,884","0.11","--","288"
"2019","Undetermined","55 to 59","26","21,871,091","0.12","--","212"
"2019","Undetermined","60 to 64","--","20,560,134","--","--","--"
"2019","Undetermined","65 to 69","11**","17,444,367","0.06**","--","0"
"2019","Undetermined","70 to 74","13**","14,026,977","0.09**","--","0"
"2019","Undetermined","75 to 79","--","9,650,824","--","--","--"
"2019","Undetermined","80 to 84","--","6,315,100","--","--","--"
"2019","Undetermined","85+","--","6,599,467","--","--","--"
"2019","Undetermined","Unknown","--","--","--","--","--"
"2018","Unintentional","0 to 4","30","19,778,527","0.15","--","1,872"
"2018","Unintentional","5 to 9","10**","20,212,958","0.05**","--","585"
"2018","Unintentional","10 to 14","14**","20,887,842","0.07**","--","729"
"2018","Unintentional","15 to 19","62","21,077,066","0.29","--","2,963"
"2018","Unintentional","20 to 24","67","21,825,110","0.31","--","2,900"
"2018","Unintentional","25 to 29","38","23,547,218","0.16","--","1,444"
"2018","Unintentional","30 to 34","41","22,131,842","0.19","--","1,368"
"2018","Unintentional","35 to 39","27","21,548,960","0.13","--","766"
"2018","Unintentional","40 to 44","19**","19,683,134","0.10**","--","441"
"2018","Unintentional","45 to 49","22","20,715,437","0.11","--","388"
"2018","Unintentional","50 to 54","23","20,856,223","0.11","--","303"
"2018","Unintentional","55 to 59","25","21,916,092","0.11","--","204"
"2018","Unintentional","60 to 64","26","20,303,185","0.13","--","84"
"2018","Unintentional","65 to 69","16**","17,064,299","0.09**","--","0"
"2018","Unintentional","70 to 74","18**","13,380,707","0.14**","--","0"
"2018","Unintentional","75 to 79","12**","9,250,179","0.13**","--","0"
"2018","Unintentional","80 to 84","--","6,121,394","--","--","--"
"2018","Unintentional","85+","--","6,538,026","--","--","--"
"2018","Homicide","0 to 4","60","19,778,527","0.30","--","3,768"
"2018","Homicide","5 to 9","57","20,212,958","0.28","--","3,302"
"2018","Homicide","10 to 14","134","20,887,842","0.64","--","7,008"
"2018","Homicide","15 to 19","1,580","21,077,066","7.50","--","74,766"
"2018","Homicide","20 to 24","2,527","21,825,110","11.58","--","108,679"
"2018","Homicide","25 to 29","2,463","23,547,218","10.46","--","93,763"
"2018","Homicide","30 to 34","1,885","22,131,842","8.52","--","62,379"
"2018","Homicide","35 to 39","1,523","21,548,960","7.07","--","42,792"
"2018","Homicide","40 to 44","1,046","19,683,134","5.31","--","24,216"
"2018","Homicide","45 to 49","790","20,715,437","3.81","--","14,307"
"2018","Homicide","50 to 54","592","20,856,223","2.84","--","7,746"
"2018","Homicide","55 to 59","487","21,916,092","2.22","--","3,949"
"2018","Homicide","60 to 64","315","20,303,185","1.55","--","1,008"
"2018","Homicide","65 to 69","205","17,064,299","1.20","--","0"
"2018","Homicide","70 to 74","142","13,380,707","1.06","--","0"
"2018","Homicide","75 to 79","72","9,250,179","0.78","--","0"
"2018","Homicide","80 to 84","42","6,121,394","0.69","--","0"
"2018","Homicide","85+","37","6,538,026","0.57","--","0"
"2018","Homicide","Unknown","--","--","--","--","--"
"2018","Legal Intervention","15 to 19","26","21,077,066","0.12","--","1,223"
"2018","Legal Intervention","20 to 24","61","21,825,110","0.28","--","2,613"
"2018","Legal Intervention","25 to 29","80","23,547,218","0.34","--","3,032"
"2018","Legal Intervention","30 to 34","80","22,131,842","0.36","--","2,606"
"2018","Legal Intervention","35 to 39","79","21,548,960","0.37","--","2,234"
"2018","Legal Intervention","40 to 44","69","19,683,134","0.35","--","1,593"
"2018","Legal Intervention","45 to 49","42","20,715,437","0.20","--","762"
"2018","Legal Intervention","50 to 54","25","20,856,223","0.12","--","324"
"2018","Legal Intervention","55 to 59","33","21,916,092","0.15","--","268"
"2018","Legal Intervention","60 to 64","22","20,303,185","0.11","--","78"
"2018","Legal Intervention","65 to 69","10**","17,064,299","0.06**","--","0"
"2018","Legal Intervention","70 to 74","--","13,380,707","--","--","--"
"2018","Legal Intervention","75 to 79","--","9,250,179","--","--","--"
"2018","Legal Intervention","80 to 84","--","6,121,394","--","--","--"
"2018","Suicide","5 to 9","--","20,212,958","--","--","--"
"2018","Suicide","10 to 14","202","20,887,842","0.97","--","10,462"
"2018","Suicide","15 to 19","1,094","21,077,066","5.19","--","52,083"
"2018","Suicide","20 to 24","1,901","21,825,110","8.71","--","81,420"
"2018","Suicide","25 to 29","1,836","23,547,218","7.80","--","69,848"
"2018","Suicide","30 to 34","1,593","22,131,842","7.20","--","52,664"
"2018","Suicide","35 to 39","1,681","21,548,960","7.80","--","47,128"
"2018","Suicide","40 to 44","1,541","19,683,134","7.83","--","35,414"
"2018","Suicide","45 to 49","1,796","20,715,437","8.67","--","32,323"
"2018","Suicide","50 to 54","1,991","20,856,223","9.55","--","25,632"
"2018","Suicide","55 to 59","2,340","21,916,092","10.68","--","18,713"
"2018","Suicide","60 to 64","2,081","20,303,185","10.25","--","6,433"
"2018","Suicide","65 to 69","1,743","17,064,299","10.21","--","0"
"2018","Suicide","70 to 74","1,494","13,380,707","11.17","--","0"
"2018","Suicide","75 to 79","1,325","9,250,179","14.32","--","0"
"2018","Suicide","80 to 84","890","6,121,394","14.54","--","0"
"2018","Suicide","85+","923","6,538,026","14.12","--","0"
"2018","Undetermined","0 to 4","--","19,778,527","--","--","--"
"2018","Undetermined","5 to 9","--","20,212,958","--","--","--"
"2018","Undetermined","10 to 14","17**","20,887,842","0.08**","--","880"
"2018","Undetermined","15 to 19","45","21,077,066","0.21","--","2,131"
"2018","Undetermined","20 to 24","48","21,825,110","0.22","--","2,050"
"2018","Undetermined","25 to 29","49","23,547,218","0.21","--","1,864"
"2018","Undetermined","30 to 34","35","22,131,842","0.16","--","1,148"
"2018","Undetermined","35 to 39","21","21,548,960","0.10","--","565"
"2018","Undetermined","40 to 44","21","19,683,134","0.11","--","476"
"2018","Undetermined","45 to 49","20**","20,715,437","0.10**","--","360"
"2018","Undetermined","50 to 54","22","20,856,223","0.11","--","286"
"2018","Undetermined","55 to 59","18**","21,916,092","0.08**","--","153"
"2018","Undetermined","60 to 64","--","20,303,185","--","--","--"
"2018","Undetermined","65 to 69","18**","17,064,299","0.11**","--","0"
"2018","Undetermined","70 to 74","--","13,380,707","--","--","--"
"2018","Undetermined","75 to 79","--","9,250,179","--","--","--"
"2018","Undetermined","80 to 84","--","6,121,394","--","--","--"
"2018","Undetermined","85+","--","6,538,026","--","--","--"
"2017","Unintentional","0 to 4","32","19,895,016","0.16","--","1,989"
"2017","Unintentional","5 to 9","14**","20,330,306","0.07**","--","807"
"2017","Unintentional","10 to 14","16**","20,783,456","0.08**","--","852"
"2017","Unintentional","15 to 19","53","21,105,586","0.25","--","2,535"
"2017","Unintentional","20 to 24","64","22,061,611","0.29","--","2,769"
"2017","Unintentional","25 to 29","54","23,360,795","0.23","--","2,072"
"2017","Unintentional","30 to 34","39","21,959,063","0.18","--","1,290"
"2017","Unintentional","35 to 39","37","21,191,318","0.18","--","1,037"
"2017","Unintentional","40 to 44","27","19,576,587","0.14","--","622"
"2017","Unintentional","45 to 49","22","20,897,300","0.11","--","404"
"2017","Unintentional","50 to 54","28","21,329,749","0.13","--","354"
"2017","Unintentional","55 to 59","30","21,945,659","0.14","--","247"
"2017","Unintentional","60 to 64","17**","19,928,043","0.09**","--","62"
"2017","Unintentional","65 to 69","16**","16,793,596","0.10**","--","0"
"2017","Unintentional","70 to 74","14**","12,812,638","0.11**","--","0"
"2017","Unintentional","75 to 79","13**","8,722,692","0.15**","--","0"
"2017","Unintentional","80 to 84","--","5,959,787","--","--","--"
"2017","Unintentional","85+","--","6,468,926","--","--","--"
"2017","Homicide","0 to 4","56","19,895,016","0.28","--","3,523"
"2017","Homicide","5 to 9","78","20,330,306","0.38","--","4,532"
"2017","Homicide","10 to 14","126","20,783,456","0.61","--","6,581"
"2017","Homicide","15 to 19","1,667","21,105,586","7.90","--","78,951"
"2017","Homicide","20 to 24","2,724","22,061,611","12.35","--","117,046"
"2017","Homicide","25 to 29","2,639","23,360,795","11.30","--","100,624"
"2017","Homicide","30 to 34","1,955","21,959,063","8.90","--","64,683"
"2017","Homicide","35 to 39","1,543","21,191,318","7.28","--","43,292"
"2017","Homicide","40 to 44","1,018","19,576,587","5.20","--","23,522"
"2017","Homicide","45 to 49","807","20,897,300","3.86","--","14,611"
"2017","Homicide","50 to 54","640","21,329,749","3.00","--","8,331"
"2017","Homicide","55 to 59","500","21,945,659","2.28","--","4,092"
"2017","Homicide","60 to 64","324","19,928,043","1.63","--","1,021"
"2017","Homicide","65 to 69","220","16,793,596","1.31","--","0"
"2017","Homicide","70 to 74","102","12,812,638","0.80","--","0"
"2017","Homicide","75 to 79","62","8,722,692","0.71","--","0"
"2017","Homicide","80 to 84","47","5,959,787","0.79","--","0"
"2017","Homicide","85+","34","6,468,926","0.53","--","0"
"2017","Legal Intervention","10 to 14","--","20,783,456","--","--","--"
"2017","Legal Intervention","15 to 19","32","21,105,586","0.15","--","1,538"
"2017","Legal Intervention","20 to 24","59","22,061,611","0.27","--","2,503"
"2017","Legal Intervention","25 to 29","106","23,360,795","0.45","--","4,055"
"2017","Legal Intervention","30 to 34","81","21,959,063","0.37","--","2,658"
"2017","Legal Intervention","35 to 39","77","21,191,318","0.36","--","2,177"
"2017","Legal Intervention","40 to 44","51","19,576,587","0.26","--","1,178"
"2017","Legal Intervention","45 to 49","47","20,897,300","0.23","--","861"
"2017","Legal Intervention","50 to 54","43","21,329,749","0.20","--","562"
"2017","Legal Intervention","55 to 59","24","21,945,659","0.11","--","195"
"2017","Legal Intervention","60 to 64","11**","19,928,043","0.06**","--","34"
"2017","Legal Intervention","65 to 69","13**","16,793,596","0.08**","--","0"
"2017","Legal Intervention","70 to 74","--","12,812,638","--","--","--"
"2017","Legal Intervention","75 to 79","--","8,722,692","--","--","--"
"2017","Legal Intervention","85+","--","6,468,926","--","--","--"
"2017","Suicide","5 to 9","--","20,330,306","--","--","--"
"2017","Suicide","10 to 14","185","20,783,456","0.89","--","9,569"
"2017","Suicide","15 to 19","1,110","21,105,586","5.26","--","52,883"
"2017","Suicide","20 to 24","1,849","22,061,611","8.38","--","79,374"
"2017","Suicide","25 to 29","1,871","23,360,795","8.01","--","71,288"
"2017","Suicide","30 to 34","1,587","21,959,063","7.23","--","52,343"
"2017","Suicide","35 to 39","1,528","21,191,318","7.21","--","42,818"
"2017","Suicide","40 to 44","1,570","19,576,587","8.02","--","36,028"
"2017","Suicide","45 to 49","1,866","20,897,300","8.93","--","33,627"
"2017","Suicide","50 to 54","2,071","21,329,749","9.71","--","26,600"
"2017","Suicide","55 to 59","2,265","21,945,659","10.32","--","18,160"
"2017","Suicide","60 to 64","1,954","19,928,043","9.81","--","6,037"
"2017","Suicide","65 to 69","1,552","16,793,596","9.24","--","0"
"2017","Suicide","70 to 74","1,437","12,812,638","11.22","--","0"
"2017","Suicide","75 to 79","1,178","8,722,692","13.51","--","0"
"2017","Suicide","80 to 84","862","5,959,787","14.46","--","0"
"2017","Suicide","85+","967","6,468,926","14.95","--","0"
"2017","Suicide","Unknown","--","--","--","--","--"
"2017","Undetermined","0 to 4","--","19,895,016","--","--","--"
"2017","Undetermined","5 to 9","--","20,330,306","--","--","--"
"2017","Undetermined","10 to 14","11**","20,783,456","0.05**","--","581"
"2017","Undetermined","15 to 19","50","21,105,586","0.24","--","2,392"
"2017","Undetermined","20 to 24","48","22,061,611","0.22","--","2,072"
"2017","Undetermined","25 to 29","29","23,360,795","0.12","--","1,101"
"2017","Undetermined","30 to 34","20**","21,959,063","0.09**","--","661"
"2017","Undetermined","35 to 39","30","21,191,318","0.14","--","840"
"2017","Undetermined","40 to 44","18**","19,576,587","0.09**","--","410"
"2017","Undetermined","45 to 49","18**","20,897,300","0.09**","--","326"
"2017","Undetermined","50 to 54","16**","21,329,749","0.08**","--","207"
"2017","Undetermined","55 to 59","27","21,945,659","0.12","--","215"
"2017","Undetermined","60 to 64","22","19,928,043","0.11","--","65"
"2017","Undetermined","65 to 69","13**","16,793,596","0.08**","--","0"
"2017","Undetermined","70 to 74","--","12,812,638","--","--","--"
"2017","Undetermined","75 to 79","--","8,722,692","--","--","--"
"2017","Undetermined","80 to 84","--","5,959,787","--","--","--"
"2017","Undetermined","85+","--","6,468,926","--","--","--"
"2017","Undetermined","Unknown","--","--","--","--","--"
"2016","Unintentional","0 to 4","35","19,936,737","0.18","--","2,179"
"2016","Unintentional","5 to 9","16**","20,450,557","0.08**","--","935"
"2016","Unintentional","10 to 14","23","20,634,000","0.11","--","1,205"
"2016","Unintentional","15 to 19","53","21,140,143","0.25","--","2,535"
"2016","Unintentional","20 to 24","68","22,367,653","0.30","--","2,913"
"2016","Unintentional","25 to 29","46","22,939,672","0.20","--","1,762"
"2016","Unintentional","30 to 34","38","21,835,455","0.17","--","1,262"
"2016","Unintentional","35 to 39","17**","20,785,173","0.08**","--","480"
"2016","Unintentional","40 to 44","12**","19,678,727","0.06**","--","273"
"2016","Unintentional","45 to 49","32","20,907,053","0.15","--","577"
"2016","Unintentional","50 to 54","35","21,796,235","0.16","--","457"
"2016","Unintentional","55 to 59","35","21,940,757","0.16","--","293"
"2016","Unintentional","60 to 64","28","19,451,114","0.14","--","96"
"2016","Unintentional","65 to 69","18**","16,801,993","0.11**","--","0"
"2016","Unintentional","70 to 74","14**","11,791,134","0.12**","--","0"
"2016","Unintentional","75 to 79","12**","8,363,727","0.14**","--","0"
"2016","Unintentional","80 to 84","--","5,868,617","--","--","--"
"2016","Unintentional","85+","--","6,383,008","--","--","--"
"2016","Homicide","0 to 4","75","19,936,737","0.38","--","4,714"
"2016","Homicide","5 to 9","68","20,450,557","0.33","--","3,962"
"2016","Homicide","10 to 14","95","20,634,000","0.46","--","4,963"
"2016","Homicide","15 to 19","1,611","21,140,143","7.62","--","76,249"
"2016","Homicide","20 to 24","2,942","22,367,653","13.15","--","126,240"
"2016","Homicide","25 to 29","2,558","22,939,672","11.15","--","97,694"
"2016","Homicide","30 to 34","1,952","21,835,455","8.94","--","64,626"
"2016","Homicide","35 to 39","1,483","20,785,173","7.14","--","41,798"
"2016","Homicide","40 to 44","1,072","19,678,727","5.45","--","24,714"
"2016","Homicide","45 to 49","798","20,907,053","3.82","--","14,486"
"2016","Homicide","50 to 54","622","21,796,235","2.85","--","8,072"
"2016","Homicide","55 to 59","434","21,940,757","1.98","--","3,551"
"2016","Homicide","60 to 64","304","19,451,114","1.56","--","1,018"
"2016","Homicide","65 to 69","161","16,801,993","0.96","--","0"
"2016","Homicide","70 to 74","102","11,791,134","0.87","--","0"
"2016","Homicide","75 to 79","61","8,363,727","0.73","--","0"
"2016","Homicide","80 to 84","42","5,868,617","0.72","--","0"
"2016","Homicide","85+","34","6,383,008","0.53","--","0"
"2016","Homicide","Unknown","--","--","--","--","--"
"2016","Legal Intervention","10 to 14","--","20,634,000","--","--","--"
"2016","Legal Intervention","15 to 19","25","21,140,143","0.12","--","1,174"
"2016","Legal Intervention","20 to 24","51","22,367,653","0.23","--","2,187"
"2016","Legal Intervention","25 to 29","82","22,939,672","0.36","--","3,115"
"2016","Legal Intervention","30 to 34","89","21,835,455","0.41","--","2,941"
"2016","Legal Intervention","35 to 39","81","20,785,173","0.39","--","2,273"
"2016","Legal Intervention","40 to 44","51","19,678,727","0.26","--","1,171"
"2016","Legal Intervention","45 to 49","31","20,907,053","0.15","--","571"
"2016","Legal Intervention","50 to 54","40","21,796,235","0.18","--","533"
"2016","Legal Intervention","55 to 59","27","21,940,757","0.12","--","221"
"2016","Legal Intervention","60 to 64","16**","19,451,114","0.08**","--","49"
"2016","Legal Intervention","65 to 69","--","16,801,993","--","--","--"
"2016","Legal Intervention","70 to 74","--","11,791,134","--","--","--"
"2016","Legal Intervention","75 to 79","--","8,363,727","--","--","--"
"2016","Legal Intervention","80 to 84","--","5,868,617","--","--","--"
"2016","Legal Intervention","85+","--","6,383,008","--","--","--"
"2016","Suicide","10 to 14","160","20,634,000","0.78","--","8,287"
"2016","Suicide","15 to 19","942","21,140,143","4.46","--","44,918"
"2016","Suicide","20 to 24","1,741","22,367,653","7.78","--","74,643"
"2016","Suicide","25 to 29","1,730","22,939,672","7.54","--","65,890"
"2016","Suicide","30 to 34","1,568","21,835,455","7.18","--","51,751"
"2016","Suicide","35 to 39","1,566","20,785,173","7.53","--","43,861"
"2016","Suicide","40 to 44","1,533","19,678,727","7.79","--","35,164"
"2016","Suicide","45 to 49","1,746","20,907,053","8.35","--","31,453"
"2016","Suicide","50 to 54","2,127","21,796,235","9.76","--","27,366"
"2016","Suicide","55 to 59","2,231","21,940,757","10.17","--","17,988"
"2016","Suicide","60 to 64","1,836","19,451,114","9.44","--","5,872"
"2016","Suicide","65 to 69","1,611","16,801,993","9.59","--","0"
"2016","Suicide","70 to 74","1,321","11,791,134","11.20","--","0"
"2016","Suicide","75 to 79","1,096","8,363,727","13.10","--","0"
"2016","Suicide","80 to 84","860","5,868,617","14.65","--","0"
"2016","Suicide","85+","868","6,383,008","13.60","--","0"
"2016","Suicide","Unknown","--","--","--","--","--"
"2016","Undetermined","0 to 4","--","19,936,737","--","--","--"
"2016","Undetermined","5 to 9","--","20,450,557","--","--","--"
"2016","Undetermined","10 to 14","--","20,634,000","--","--","--"
"2016","Undetermined","15 to 19","34","21,140,143","0.16","--","1,624"
"2016","Undetermined","20 to 24","36","22,367,653","0.16","--","1,549"
"2016","Undetermined","25 to 29","28","22,939,672","0.12","--","1,061"
"2016","Undetermined","30 to 34","37","21,835,455","0.17","--","1,236"
"2016","Undetermined","35 to 39","23","20,785,173","0.11","--","654"
"2016","Undetermined","40 to 44","29","19,678,727","0.15","--","665"
"2016","Undetermined","45 to 49","18**","20,907,053","0.09**","--","327"
"2016","Undetermined","50 to 54","--","21,796,235","--","--","--"
"2016","Undetermined","55 to 59","14**","21,940,757","0.06**","--","112"
"2016","Undetermined","60 to 64","17**","19,451,114","0.09**","--","63"
"2016","Undetermined","65 to 69","10**","16,801,993","0.06**","--","0"
"2016","Undetermined","70 to 74","12**","11,791,134","0.10**","--","0"
"2016","Undetermined","75 to 79","--","8,363,727","--","--","--"
"2016","Undetermined","80 to 84","--","5,868,617","--","--","--"
"2016","Undetermined","85+","--","6,383,008","--","--","--"
"2016","Undetermined","Unknown","--","--","--","--","--"
"2015","Unintentional","0 to 4","26","19,924,706","0.13","--","1,619"
"2015","Unintentional","5 to 9","--","20,490,819","--","--","--"
"2015","Unintentional","10 to 14","15**","20,614,613","0.07**","--","795"
"2015","Unintentional","15 to 19","52","21,090,272","0.25","--","2,488"
"2015","Unintentional","20 to 24","69","22,689,498","0.30","--","2,967"
"2015","Unintentional","25 to 29","45","22,431,356","0.20","--","1,721"
"2015","Unintentional","30 to 34","34","21,641,883","0.16","--","1,138"
"2015","Unintentional","35 to 39","35","20,308,469","0.17","--","971"
"2015","Unintentional","40 to 44","24","20,132,157","0.12","--","540"
"2015","Unintentional","45 to 49","32","20,761,610","0.15","--","574"
"2015","Unintentional","50 to 54","25","22,251,495","0.11","--","326"
"2015","Unintentional","55 to 59","32","21,733,516","0.15","--","271"
"2015","Unintentional","60 to 64","23","19,012,730","0.12","--","77"
"2015","Unintentional","65 to 69","26","16,031,092","0.16","--","0"
"2015","Unintentional","70 to 74","19**","11,457,126","0.17**","--","0"
"2015","Unintentional","75 to 79","--","8,110,827","--","--","--"
"2015","Unintentional","80 to 84","10**","5,793,729","0.17**","--","0"
"2015","Unintentional","85+","--","6,263,096","--","--","--"
"2015","Homicide","0 to 4","58","19,924,706","0.29","--","3,649"
"2015","Homicide","5 to 9","69","20,490,819","0.34","--","4,015"
"2015","Homicide","10 to 14","121","20,614,613","0.59","--","6,304"
"2015","Homicide","15 to 19","1,397","21,090,272","6.62","--","66,093"
"2015","Homicide","20 to 24","2,743","22,689,498","12.09","--","117,799"
"2015","Homicide","25 to 29","2,260","22,431,356","10.08","--","86,159"
"2015","Homicide","30 to 34","1,736","21,641,883","8.02","--","57,351"
"2015","Homicide","35 to 39","1,252","20,308,469","6.17","--","35,303"
"2015","Homicide","40 to 44","945","20,132,157","4.69","--","21,779"
"2015","Homicide","45 to 49","726","20,761,610","3.50","--","13,183"
"2015","Homicide","50 to 54","573","22,251,495","2.58","--","7,498"
"2015","Homicide","55 to 59","420","21,733,516","1.93","--","3,413"
"2015","Homicide","60 to 64","261","19,012,730","1.37","--","858"
"2015","Homicide","65 to 69","173","16,031,092","1.08","--","0"
"2015","Homicide","70 to 74","85","11,457,126","0.74","--","0"
"2015","Homicide","75 to 79","76","8,110,827","0.94","--","0"
"2015","Homicide","80 to 84","43","5,793,729","0.74","--","0"
"2015","Homicide","85+","40","6,263,096","0.64","--","0"
"2015","Homicide","Unknown","--","--","--","--","--"
"2015","Legal Intervention","15 to 19","25","21,090,272","0.12","--","1,175"
"2015","Legal Intervention","20 to 24","59","22,689,498","0.26","--","2,511"
"2015","Legal Intervention","25 to 29","78","22,431,356","0.35","--","2,953"
"2015","Legal Intervention","30 to 34","75","21,641,883","0.35","--","2,478"
"2015","Legal Intervention","35 to 39","58","20,308,469","0.29","--","1,637"
"2015","Legal Intervention","40 to 44","40","20,132,157","0.20","--","934"
"2015","Legal Intervention","45 to 49","50","20,761,610","0.24","--","903"
"2015","Legal Intervention","50 to 54","39","22,251,495","0.18","--","507"
"2015","Legal Intervention","55 to 59","31","21,733,516","0.14","--","248"
"2015","Legal Intervention","60 to 64","16**","19,012,730","0.08**","--","54"
"2015","Legal Intervention","65 to 69","--","16,031,092","--","--","--"
"2015","Legal Intervention","70 to 74","--","11,457,126","--","--","--"
"2015","Legal Intervention","75 to 79","--","8,110,827","--","--","--"
"2015","Legal Intervention","85+","--","6,263,096","--","--","--"
"2015","Suicide","5 to 9","--","20,490,819","--","--","--"
"2015","Suicide","10 to 14","139","20,614,613","0.67","--","7,172"
"2015","Suicide","15 to 19","877","21,090,272","4.16","--","41,740"
"2015","Suicide","20 to 24","1,584","22,689,498","6.98","--","67,935"
"2015","Suicide","25 to 29","1,571","22,431,356","7.00","--","59,816"
"2015","Suicide","30 to 34","1,547","21,641,883","7.15","--","51,064"
"2015","Suicide","35 to 39","1,397","20,308,469","6.88","--","39,147"
"2015","Suicide","40 to 44","1,555","20,132,157","7.72","--","35,604"
"2015","Suicide","45 to 49","1,686","20,761,610","8.12","--","30,311"
"2015","Suicide","50 to 54","2,196","22,251,495","9.87","--","28,449"
"2015","Suicide","55 to 59","2,170","21,733,516","9.99","--","17,453"
"2015","Suicide","60 to 64","1,781","19,012,730","9.37","--","5,514"
"2015","Suicide","65 to 69","1,518","16,031,092","9.47","--","0"
"2015","Suicide","70 to 74","1,261","11,457,126","11.01","--","0"
"2015","Suicide","75 to 79","1,041","8,110,827","12.84","--","0"
"2015","Suicide","80 to 84","831","5,793,729","14.34","--","0"
"2015","Suicide","85+","860","6,263,096","13.73","--","0"
"2015","Suicide","Unknown","--","--","--","--","--"
"2015","Undetermined","0 to 4","--","19,924,706","--","--","--"
"2015","Undetermined","5 to 9","--","20,490,819","--","--","--"
"2015","Undetermined","10 to 14","--","20,614,613","--","--","--"
"2015","Undetermined","15 to 19","30","21,090,272","0.14","--","1,437"
"2015","Undetermined","20 to 24","47","22,689,498","0.21","--","2,029"
"2015","Undetermined","25 to 29","32","22,431,356","0.14","--","1,229"
"2015","Undetermined","30 to 34","28","21,641,883","0.13","--","933"
"2015","Undetermined","35 to 39","18**","20,308,469","0.09**","--","509"
"2015","Undetermined","40 to 44","13**","20,132,157","0.07**","--","293"
"2015","Undetermined","45 to 49","15**","20,761,610","0.07**","--","266"
"2015","Undetermined","50 to 54","19**","22,251,495","0.09**","--","244"
"2015","Undetermined","55 to 59","18**","21,733,516","0.08**","--","141"
"2015","Undetermined","60 to 64","14**","19,012,730","0.07**","--","30"
"2015","Undetermined","65 to 69","15**","16,031,092","0.09**","--","0"
"2015","Undetermined","70 to 74","10**","11,457,126","0.09**","--","0"
"2015","Undetermined","75 to 79","--","8,110,827","--","--","--"
"2015","Undetermined","80 to 84","--","5,793,729","--","--","--"
"2015","Undetermined","85+","--","6,263,096","--","--","--"
"2014","Unintentional","0 to 4","23","19,878,806","0.12","--","1,435"
"2014","Unintentional","5 to 9","14**","20,526,270","0.07**","--","805"
"2014","Unintentional","10 to 14","12**","20,673,760","0.06**","--","632"
"2014","Unintentional","15 to 19","44","21,060,362","0.21","--","2,100"
"2014","Unintentional","20 to 24","65","22,891,992","0.28","--","2,791"
"2014","Unintentional","25 to 29","39","21,968,523","0.18","--","1,494"
"2014","Unintentional","30 to 34","24","21,507,288","0.11","--","782"
"2014","Unintentional","35 to 39","35","19,873,674","0.18","--","982"
"2014","Unintentional","40 to 44","26","20,529,624","0.13","--","599"
"2014","Unintentional","45 to 49","26","20,819,977","0.13","--","462"
"2014","Unintentional","50 to 54","37","22,509,488","0.16","--","478"
"2014","Unintentional","55 to 59","24","21,458,320","0.11","--","199"
"2014","Unintentional","60 to 64","20**","18,527,240","0.11**","--","60"
"2014","Unintentional","65 to 69","27","15,296,996","0.18","--","0"
"2014","Unintentional","70 to 74","22","11,058,442","0.20","--","0"
"2014","Unintentional","75 to 79","10**","7,916,373","0.13**","--","0"
"2014","Unintentional","80 to 84","--","5,755,948","--","--","--"
"2014","Unintentional","85+","--","6,133,246","--","--","--"
"2014","Unintentional","Unknown","--","--","--","--","--"
"2014","Homicide","0 to 4","52","19,878,806","0.26","--","3,248"
"2014","Homicide","5 to 9","58","20,526,270","0.28","--","3,364"
"2014","Homicide","10 to 14","115","20,673,760","0.56","--","6,016"
"2014","Homicide","15 to 19","1,239","21,060,362","5.88","--","58,621"
"2014","Homicide","20 to 24","2,375","22,891,992","10.38","--","102,137"
"2014","Homicide","25 to 29","1,861","21,968,523","8.47","--","71,003"
"2014","Homicide","30 to 34","1,413","21,507,288","6.57","--","46,713"
"2014","Homicide","35 to 39","1,039","19,873,674","5.23","--","29,293"
"2014","Homicide","40 to 44","804","20,529,624","3.92","--","18,571"
"2014","Homicide","45 to 49","638","20,819,977","3.06","--","11,449"
"2014","Homicide","50 to 54","503","22,509,488","2.24","--","6,637"
"2014","Homicide","55 to 59","341","21,458,320","1.59","--","2,796"
"2014","Homicide","60 to 64","200","18,527,240","1.08","--","640"
"2014","Homicide","65 to 69","147","15,296,996","0.96","--","0"
"2014","Homicide","70 to 74","87","11,058,442","0.79","--","0"
"2014","Homicide","75 to 79","56","7,916,373","0.71","--","0"
"2014","Homicide","80 to 84","45","5,755,948","0.78","--","0"
