"Year","Intent","Race","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2022","Suicide","American Indian / Alaska Native","Maryland","--","14,658","--","--","--"
"2022","Suicide","American Indian / Alaska Native","Massachusetts","0**","12,698","0.00**","0.00**","--"
"2022","Suicide","American Indian / Alaska Native","Michigan","--","57,106","--","--","--"
"2022","Suicide","American Indian / Alaska Native","Minnesota","--","59,910","--","--","--"
"2022","Suicide","American Indian / Alaska Native","Mississippi","--","15,007","--","--","--"
"2022","Suicide","American Indian / Alaska Native","Missouri","--","27,156","--","--","--"
"2022","Suicide","American Indian / Alaska Native","Montana","15**","65,967","22.74**","24.66**","457"
"2022","Suicide","American Indian / Alaska Native","Nebraska","--","16,137","--","--","--"
"2022","Suicide","American Indian / Alaska Native","Nevada","--","26,334","--","--","--"
"2022","Suicide","American Indian / Alaska Native","New Hampshire","0**","2,937","0.00**","0.00**","--"
"2022","Suicide","American Indian / Alaska Native","New Jersey","0**","14,162","0.00**","0.00**","--"
"2022","Suicide","American Indian / Alaska Native","New Mexico","20**","185,093","10.81**","9.99**","622"
"2022","Suicide","American Indian / Alaska Native","New York","--","59,252","--","--","--"
"2022","Suicide","American Indian / Alaska Native","North Carolina","14**","111,183","12.59**","13.12**","436"
"2022","Suicide","American Indian / Alaska Native","North Dakota","--","37,660","--","--","--"
"2022","Suicide","American Indian / Alaska Native","Ohio","0**","22,750","0.00**","0.00**","--"
"2022","Suicide","American Indian / Alaska Native","Oklahoma","50","333,051","15.01","15.87","1,215"
"2022","Suicide","American Indian / Alaska Native","Oregon","--","46,042","--","--","--"
"2022","Suicide","American Indian / Alaska Native","Pennsylvania","--","18,931","--","--","--"
"2022","Suicide","American Indian / Alaska Native","Rhode Island","0**","4,531","0.00**","0.00**","--"
"2022","Suicide","American Indian / Alaska Native","South Carolina","--","19,274","--","--","--"
"2022","Suicide","American Indian / Alaska Native","South Dakota","13**","70,119","18.54**","15.29**","560"
"2022","Suicide","American Indian / Alaska Native","Tennessee","--","20,274","--","--","--"
"2022","Suicide","American Indian / Alaska Native","Texas","--","98,205","--","--","--"
"2022","Suicide","American Indian / Alaska Native","Utah","--","30,187","--","--","--"
"2022","Suicide","American Indian / Alaska Native","Vermont","0**","2,094","0.00**","0.00**","--"
"2022","Suicide","American Indian / Alaska Native","Virginia","--","23,207","--","--","--"
"2022","Suicide","American Indian / Alaska Native","Washington","10**","94,189","10.62**","10.12**","229"
"2022","Suicide","American Indian / Alaska Native","West Virginia","0**","3,901","0.00**","0.00**","--"
"2022","Suicide","American Indian / Alaska Native","Wisconsin","--","52,201","--","--","--"
"2022","Suicide","American Indian / Alaska Native","Wyoming","--","11,827","--","--","--"
"2022","Suicide","Asian","Alabama","--","78,533","--","--","--"
"2022","Suicide","Asian","Alaska","--","47,853","--","--","--"
"2022","Suicide","Asian","Arizona","12**","267,645","4.48**","4.19**","258"
"2022","Suicide","Asian","Arkansas","--","54,175","--","--","--"
"2022","Suicide","Asian","California","92","6,083,599","1.51","1.45","2,249"
"2022","Suicide","Asian","Colorado","--","207,424","--","--","--"
"2022","Suicide","Asian","Connecticut","--","182,755","--","--","--"
"2022","Suicide","Asian","Delaware","0**","43,623","0.00**","0.00**","--"
"2022","Suicide","Asian","District of Columbia","0**","30,308","0.00**","0.00**","--"
"2022","Suicide","Asian","Florida","21","667,826","3.15","3.10","546"
"2022","Suicide","Asian","Georgia","13**","510,018","2.55**","2.55**","417"
"2022","Suicide","Asian","Hawaii","11**","516,999","2.13**","1.83**","162"
"2022","Suicide","Asian","Idaho","--","29,681","--","--","--"
"2022","Suicide","Asian","Illinois","--","769,499","--","--","--"
"2022","Suicide","Asian","Indiana","--","188,702","--","--","--"
"2022","Suicide","Asian","Iowa","--","86,834","--","--","--"
"2022","Suicide","Asian","Kansas","--","91,904","--","--","--"
"2022","Suicide","Asian","Kentucky","--","77,396","--","--","--"
"2022","Suicide","Asian","Louisiana","--","85,445","--","--","--"
"2022","Suicide","Asian","Maine","--","18,743","--","--","--"
"2022","Suicide","Asian","Maryland","--","425,846","--","--","--"
"2022","Suicide","Asian","Massachusetts","--","529,917","--","--","--"
"2022","Suicide","Asian","Michigan","--","347,815","--","--","--"
"2022","Suicide","Asian","Minnesota","--","308,785","--","--","--"
"2022","Suicide","Asian","Mississippi","0**","33,278","0.00**","0.00**","--"
"2022","Suicide","Asian","Missouri","--","139,415","--","--","--"
"2022","Suicide","Asian","Montana","0**","11,582","0.00**","0.00**","--"
"2022","Suicide","Asian","Nebraska","--","53,720","--","--","--"
"2022","Suicide","Asian","Nevada","17**","283,621","5.99**","6.43**","520"
"2022","Suicide","Asian","New Hampshire","0**","43,630","0.00**","0.00**","--"
"2022","Suicide","Asian","New Jersey","--","957,530","--","--","--"
"2022","Suicide","Asian","New Mexico","--","35,686","--","--","--"
"2022","Suicide","Asian","New York","--","1,851,641","--","--","--"
"2022","Suicide","Asian","North Carolina","12**","370,540","3.24**","2.91**","412"
"2022","Suicide","Asian","North Dakota","0**","13,208","0.00**","0.00**","--"
"2022","Suicide","Asian","Ohio","--","318,181","--","--","--"
"2022","Suicide","Asian","Oklahoma","--","100,224","--","--","--"
"2022","Suicide","Asian","Oregon","--","210,022","--","--","--"
"2022","Suicide","Asian","Pennsylvania","11**","519,968","2.12**","1.89**","397"
"2022","Suicide","Asian","Rhode Island","0**","38,429","0.00**","0.00**","--"
"2022","Suicide","Asian","South Carolina","--","102,276","--","--","--"
"2022","Suicide","Asian","South Dakota","0**","15,865","0.00**","0.00**","--"
"2022","Suicide","Asian","Tennessee","--","141,387","--","--","--"
"2022","Suicide","Asian","Texas","33","1,654,482","2.00","1.89","834"
"2022","Suicide","Asian","Utah","--","89,094","--","--","--"
"2022","Suicide","Asian","Vermont","0**","13,154","0.00**","0.00**","--"
"2022","Suicide","Asian","Virginia","18**","624,456","2.88**","2.74**","415"
"2022","Suicide","Asian","Washington","24","794,517","3.02","2.82","658"
"2022","Suicide","Asian","West Virginia","0**","15,864","0.00**","0.00**","--"
"2022","Suicide","Asian","Wisconsin","--","187,007","--","--","--"
"2022","Suicide","Asian","Wyoming","0**","5,923","0.00**","0.00**","--"
"2022","Suicide","HI Native / Pacific Islander","Alabama","0**","2,671","0.00**","0.00**","--"
"2022","Suicide","HI Native / Pacific Islander","Alaska","0**","11,661","0.00**","0.00**","--"
"2022","Suicide","HI Native / Pacific Islander","Arizona","--","14,480","--","--","--"
"2022","Suicide","HI Native / Pacific Islander","Arkansas","0**","12,844","0.00**","0.00**","--"
"2022","Suicide","HI Native / Pacific Islander","California","--","145,891","--","--","--"
"2022","Suicide","HI Native / Pacific Islander","Colorado","--","9,095","--","--","--"
"2022","Suicide","HI Native / Pacific Islander","Connecticut","0**","1,367","0.00**","0.00**","--"
"2022","Suicide","HI Native / Pacific Islander","Delaware","0**","352","0.00**","0.00**","--"
"2022","Suicide","HI Native / Pacific Islander","District of Columbia","0**","393","0.00**","0.00**","--"
"2022","Suicide","HI Native / Pacific Islander","Florida","0**","15,192","0.00**","0.00**","--"
"2022","Suicide","HI Native / Pacific Islander","Georgia","0**","7,892","0.00**","0.00**","--"
"2022","Suicide","HI Native / Pacific Islander","Hawaii","--","137,307","--","--","--"
"2022","Suicide","HI Native / Pacific Islander","Idaho","--","3,615","--","--","--"
"2022","Suicide","HI Native / Pacific Islander","Illinois","0**","3,751","0.00**","0.00**","--"
"2022","Suicide","HI Native / Pacific Islander","Indiana","0**","2,949","0.00**","0.00**","--"
"2022","Suicide","HI Native / Pacific Islander","Iowa","0**","6,432","0.00**","0.00**","--"
"2022","Suicide","HI Native / Pacific Islander","Kansas","--","3,410","--","--","--"
"2022","Suicide","HI Native / Pacific Islander","Kentucky","0**","3,831","0.00**","0.00**","--"
"2022","Suicide","HI Native / Pacific Islander","Louisiana","0**","1,775","0.00**","0.00**","--"
"2022","Suicide","HI Native / Pacific Islander","Maine","0**","444","0.00**","0.00**","--"
"2022","Suicide","HI Native / Pacific Islander","Maryland","0**","3,022","0.00**","0.00**","--"
"2022","Suicide","HI Native / Pacific Islander","Massachusetts","0**","3,202","0.00**","0.00**","--"
"2022","Suicide","HI Native / Pacific Islander","Michigan","0**","3,032","0.00**","0.00**","--"
"2022","Suicide","HI Native / Pacific Islander","Minnesota","0**","3,528","0.00**","0.00**","--"
"2022","Suicide","HI Native / Pacific Islander","Mississippi","0**","1,189","0.00**","0.00**","--"
"2022","Suicide","HI Native / Pacific Islander","Missouri","0**","9,833","0.00**","0.00**","--"
"2022","Suicide","HI Native / Pacific Islander","Montana","0**","891","0.00**","0.00**","--"
"2022","Suicide","HI Native / Pacific Islander","Nebraska","0**","1,387","0.00**","0.00**","--"
"2022","Suicide","HI Native / Pacific Islander","Nevada","--","22,339","--","--","--"
"2022","Suicide","HI Native / Pacific Islander","New Hampshire","0**","422","0.00**","0.00**","--"
"2022","Suicide","HI Native / Pacific Islander","New Jersey","0**","3,469","0.00**","0.00**","--"
"2022","Suicide","HI Native / Pacific Islander","New Mexico","0**","1,401","0.00**","0.00**","--"
"2022","Suicide","HI Native / Pacific Islander","New York","0**","9,549","0.00**","0.00**","--"
"2022","Suicide","HI Native / Pacific Islander","North Carolina","0**","7,607","0.00**","0.00**","--"
"2022","Suicide","HI Native / Pacific Islander","North Dakota","0**","689","0.00**","0.00**","--"
"2022","Suicide","HI Native / Pacific Islander","Ohio","0**","5,704","0.00**","0.00**","--"
"2022","Suicide","HI Native / Pacific Islander","Oklahoma","0**","8,307","0.00**","0.00**","--"
"2022","Suicide","HI Native / Pacific Islander","Oregon","--","18,207","--","--","--"
"2022","Suicide","HI Native / Pacific Islander","Pennsylvania","0**","4,156","0.00**","0.00**","--"
"2022","Suicide","HI Native / Pacific Islander","Rhode Island","0**","689","0.00**","0.00**","--"
"2022","Suicide","HI Native / Pacific Islander","South Carolina","0**","3,377","0.00**","0.00**","--"
"2022","Suicide","HI Native / Pacific Islander","South Dakota","0**","796","0.00**","0.00**","--"
"2022","Suicide","HI Native / Pacific Islander","Tennessee","0**","4,236","0.00**","0.00**","--"
"2022","Suicide","HI Native / Pacific Islander","Texas","--","28,558","--","--","--"
"2022","Suicide","HI Native / Pacific Islander","Utah","--","35,994","--","--","--"
"2022","Suicide","HI Native / Pacific Islander","Vermont","0**","194","0.00**","0.00**","--"
"2022","Suicide","HI Native / Pacific Islander","Virginia","--","6,483","--","--","--"
"2022","Suicide","HI Native / Pacific Islander","Washington","--","59,064","--","--","--"
"2022","Suicide","HI Native / Pacific Islander","West Virginia","0**","426","0.00**","0.00**","--"
"2022","Suicide","HI Native / Pacific Islander","Wisconsin","0**","2,407","0.00**","0.00**","--"
"2022","Suicide","HI Native / Pacific Islander","Wyoming","0**","418","0.00**","0.00**","--"
"2022","Suicide","More than One Race","Alabama","--","89,921","--","--","--"
"2022","Suicide","More than One Race","Alaska","--","53,389","--","--","--"
"2022","Suicide","More than One Race","Arizona","12**","168,966","7.10**","8.02**","371"
"2022","Suicide","More than One Race","Arkansas","0**","65,622","0.00**","0.00**","--"
"2022","Suicide","More than One Race","California","37","1,176,462","3.15","4.13","779"
"2022","Suicide","More than One Race","Colorado","--","148,623","--","--","--"
"2022","Suicide","More than One Race","Connecticut","--","70,158","--","--","--"
"2022","Suicide","More than One Race","Delaware","0**","26,276","0.00**","0.00**","--"
"2022","Suicide","More than One Race","District of Columbia","0**","17,363","0.00**","0.00**","--"
"2022","Suicide","More than One Race","Florida","17**","408,386","4.16**","4.81**","525"
"2022","Suicide","More than One Race","Georgia","--","226,701","--","--","--"
"2022","Suicide","More than One Race","Hawaii","14**","288,108","4.86**","5.77**","221"
"2022","Suicide","More than One Race","Idaho","--","43,569","--","--","--"
"2022","Suicide","More than One Race","Illinois","--","227,886","--","--","--"
"2022","Suicide","More than One Race","Indiana","--","144,392","--","--","--"
"2022","Suicide","More than One Race","Iowa","--","61,257","--","--","--"
"2022","Suicide","More than One Race","Kansas","11**","82,787","13.29**","14.95**","343"
"2022","Suicide","More than One Race","Kentucky","--","93,803","--","--","--"
"2022","Suicide","More than One Race","Louisiana","--","76,170","--","--","--"
"2022","Suicide","More than One Race","Maine","--","25,224","--","--","--"
"2022","Suicide","More than One Race","Maryland","--","164,881","--","--","--"
"2022","Suicide","More than One Race","Massachusetts","--","139,905","--","--","--"
"2022","Suicide","More than One Race","Michigan","10**","247,302","4.04**","4.85**","350"
"2022","Suicide","More than One Race","Minnesota","--","142,291","--","--","--"
"2022","Suicide","More than One Race","Mississippi","--","39,685","--","--","--"
"2022","Suicide","More than One Race","Missouri","--","148,812","--","--","--"
"2022","Suicide","More than One Race","Montana","--","29,860","--","--","--"
"2022","Suicide","More than One Race","Nebraska","--","41,743","--","--","--"
"2022","Suicide","More than One Race","Nevada","--","122,726","--","--","--"
"2022","Suicide","More than One Race","New Hampshire","0**","23,171","0.00**","0.00**","--"
"2022","Suicide","More than One Race","New Jersey","0**","154,789","0.00**","0.00**","--"
"2022","Suicide","More than One Race","New Mexico","--","34,975","--","--","--"
"2022","Suicide","More than One Race","New York","--","382,887","--","--","--"
"2022","Suicide","More than One Race","North Carolina","--","236,470","--","--","--"
"2022","Suicide","More than One Race","North Dakota","0**","17,882","0.00**","0.00**","--"
"2022","Suicide","More than One Race","Ohio","--","282,440","--","--","--"
"2022","Suicide","More than One Race","Oklahoma","19**","241,328","7.87**","10.96**","468"
"2022","Suicide","More than One Race","Oregon","--","151,345","--","--","--"
"2022","Suicide","More than One Race","Pennsylvania","--","246,753","--","--","--"
"2022","Suicide","More than One Race","Rhode Island","--","24,867","--","--","--"
"2022","Suicide","More than One Race","South Carolina","--","103,064","--","--","--"
"2022","Suicide","More than One Race","South Dakota","--","22,090","--","--","--"
"2022","Suicide","More than One Race","Tennessee","--","140,945","--","--","--"
"2022","Suicide","More than One Race","Texas","10**","498,549","2.01**","2.49**","293"
"2022","Suicide","More than One Race","Utah","--","79,404","--","--","--"
"2022","Suicide","More than One Race","Vermont","--","12,802","--","--","--"
"2022","Suicide","More than One Race","Virginia","--","258,308","--","--","--"
"2022","Suicide","More than One Race","Washington","19**","349,041","5.44**","6.50**","550"
"2022","Suicide","More than One Race","West Virginia","--","35,976","--","--","--"
"2022","Suicide","More than One Race","Wisconsin","--","113,061","--","--","--"
"2022","Suicide","More than One Race","Wyoming","0**","11,434","0.00**","0.00**","--"
"2022","Undetermined","White","Alabama","--","3,283,664","--","--","--"
"2022","Undetermined","White","Alaska","--","431,312","--","--","--"
"2022","Undetermined","White","Arizona","--","3,895,240","--","--","--"
"2022","Undetermined","White","Arkansas","10**","2,161,415","0.46**","0.42**","135"
"2022","Undetermined","White","California","--","13,554,876","--","--","--"
"2022","Undetermined","White","Colorado","--","3,881,878","--","--","--"
"2022","Undetermined","White","Florida","10**","11,642,694","0.09**","0.10**","230"
"2022","Undetermined","White","Georgia","11**","5,500,388","0.20**","0.18**","213"
"2022","Undetermined","White","Hawaii","0**","306,591","0.00**","0.00**","--"
"2022","Undetermined","White","Illinois","--","7,483,551","--","--","--"
"2022","Undetermined","White","Indiana","10**","5,264,074","0.19**","0.19**","234"
"2022","Undetermined","White","Iowa","--","2,679,799","--","--","--"
"2022","Undetermined","White","Kansas","--","2,183,438","--","--","--"
"2022","Undetermined","White","Kentucky","--","3,754,388","--","--","--"
"2022","Undetermined","White","Louisiana","--","2,652,879","--","--","--"
"2022","Undetermined","White","Maryland","--","2,976,069","--","--","--"
"2022","Undetermined","White","Massachusetts","--","4,856,171","--","--","--"
"2022","Undetermined","White","Michigan","--","7,423,617","--","--","--"
"2022","Undetermined","White","Minnesota","--","4,438,142","--","--","--"
"2022","Undetermined","White","Mississippi","--","1,647,390","--","--","--"
"2022","Undetermined","White","Missouri","11**","4,845,098","0.23**","0.25**","252"
"2022","Undetermined","White","Montana","--","957,643","--","--","--"
"2022","Undetermined","White","Nebraska","--","1,514,050","--","--","--"
"2022","Undetermined","White","Nevada","--","1,452,282","--","--","--"
"2022","Undetermined","White","New Mexico","--","754,687","--","--","--"
"2022","Undetermined","White","New York","--","10,669,241","--","--","--"
"2022","Undetermined","White","North Carolina","--","6,584,019","--","--","--"
"2022","Undetermined","White","Ohio","--","9,087,163","--","--","--"
"2022","Undetermined","White","Oklahoma","--","2,549,334","--","--","--"
"2022","Undetermined","White","Pennsylvania","10**","9,662,619","0.10**","0.07**","64"
"2022","Undetermined","White","Rhode Island","0**","764,338","0.00**","0.00**","--"
"2022","Undetermined","White","South Carolina","--","3,352,165","--","--","--"
"2022","Undetermined","White","Tennessee","--","5,141,367","--","--","--"
"2022","Undetermined","White","Texas","14**","11,939,611","0.12**","0.12**","419"
"2022","Undetermined","White","Utah","--","2,592,896","--","--","--"
"2022","Undetermined","White","Vermont","--","594,892","--","--","--"
"2022","Undetermined","White","Virginia","--","5,196,054","--","--","--"
"2022","Undetermined","White","Washington","11**","5,071,894","0.22**","0.21**","229"
"2022","Undetermined","White","West Virginia","--","1,618,266","--","--","--"
"2022","Undetermined","White","Wisconsin","--","4,720,083","--","--","--"
"2022","Undetermined","Black","Alabama","--","1,341,182","--","--","--"
"2022","Undetermined","Black","Alaska","0**","23,753","0.00**","0.00**","--"
"2022","Undetermined","Black","Arizona","--","350,020","--","--","--"
"2022","Undetermined","Black","Arkansas","--","466,938","--","--","--"
"2022","Undetermined","Black","California","--","2,177,612","--","--","--"
"2022","Undetermined","Black","Colorado","--","241,142","--","--","--"
"2022","Undetermined","Black","Connecticut","--","389,067","--","--","--"
"2022","Undetermined","Black","Delaware","0**","228,813","0.00**","0.00**","--"
"2022","Undetermined","Black","Florida","10**","3,429,201","0.29**","0.28**","356"
"2022","Undetermined","Black","Georgia","--","3,502,283","--","--","--"
"2022","Undetermined","Black","Hawaii","0**","28,043","0.00**","0.00**","--"
"2022","Undetermined","Black","Idaho","--","15,413","--","--","--"
"2022","Undetermined","Black","Illinois","--","1,773,951","--","--","--"
"2022","Undetermined","Black","Indiana","--","675,424","--","--","--"
"2022","Undetermined","Black","Iowa","--","134,424","--","--","--"
"2022","Undetermined","Black","Kansas","--","169,538","--","--","--"
"2022","Undetermined","Black","Kentucky","--","378,394","--","--","--"
"2022","Undetermined","Black","Louisiana","--","1,477,731","--","--","--"
"2022","Undetermined","Black","Maine","0**","25,928","0.00**","0.00**","--"
"2022","Undetermined","Black","Michigan","--","1,381,727","--","--","--"
"2022","Undetermined","Black","Minnesota","0**","423,114","0.00**","0.00**","--"
"2022","Undetermined","Black","Mississippi","--","1,098,629","--","--","--"
"2022","Undetermined","Black","Missouri","--","709,158","--","--","--"
"2022","Undetermined","Black","Montana","0**","6,205","0.00**","0.00**","--"
"2022","Undetermined","Black","Nebraska","0**","98,369","0.00**","0.00**","--"
"2022","Undetermined","Black","Nevada","0**","309,116","0.00**","0.00**","--"
"2022","Undetermined","Black","New Hampshire","0**","22,345","0.00**","0.00**","--"
"2022","Undetermined","Black","New Mexico","--","41,637","--","--","--"
"2022","Undetermined","Black","New York","--","2,837,505","--","--","--"
"2022","Undetermined","Black","North Carolina","--","2,267,145","--","--","--"
"2022","Undetermined","Black","North Dakota","0**","26,754","0.00**","0.00**","--"
"2022","Undetermined","Black","Ohio","--","1,514,821","--","--","--"
"2022","Undetermined","Black","Oklahoma","--","300,863","--","--","--"
"2022","Undetermined","Black","Oregon","0**","86,653","0.00**","0.00**","--"
"2022","Undetermined","Black","Pennsylvania","--","1,403,451","--","--","--"
"2022","Undetermined","Black","South Carolina","--","1,354,319","--","--","--"
"2022","Undetermined","Black","South Dakota","0**","22,206","0.00**","0.00**","--"
"2022","Undetermined","Black","Tennessee","--","1,153,620","--","--","--"
"2022","Undetermined","Black","Texas","--","3,741,618","--","--","--"
"2022","Undetermined","Black","Utah","0**","41,138","0.00**","0.00**","--"
"2022","Undetermined","Black","Vermont","0**","9,071","0.00**","0.00**","--"
"2022","Undetermined","Black","Virginia","--","1,664,108","--","--","--"
"2022","Undetermined","Black","Wisconsin","--","369,629","--","--","--"
"2022","Undetermined","Black","Wyoming","0**","6,004","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","Alabama","0**","28,072","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","Alaska","--","109,120","--","--","--"
"2022","Undetermined","American Indian / Alaska Native","Arizona","--","274,326","--","--","--"
"2022","Undetermined","American Indian / Alaska Native","Arkansas","0**","24,107","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","California","0**","158,722","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","Colorado","0**","36,799","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","Connecticut","0**","8,158","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","Delaware","0**","3,055","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","District of Columbia","0**","1,404","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","Florida","0**","56,494","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","Georgia","0**","25,046","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","Hawaii","0**","3,045","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","Idaho","0**","19,839","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","Illinois","0**","19,669","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","Indiana","0**","15,747","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","Iowa","0**","9,966","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","Kansas","0**","23,038","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","Kentucky","0**","9,511","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","Louisiana","0**","30,004","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","Maine","0**","8,807","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","Maryland","0**","14,658","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","Massachusetts","0**","12,698","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","Michigan","0**","57,106","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","Minnesota","0**","59,910","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","Mississippi","0**","15,007","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","Missouri","0**","27,156","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","Montana","--","65,967","--","--","--"
"2022","Undetermined","American Indian / Alaska Native","Nebraska","0**","16,137","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","Nevada","0**","26,334","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","New Hampshire","0**","2,937","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","New Jersey","0**","14,162","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","New Mexico","0**","185,093","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","New York","--","59,252","--","--","--"
"2022","Undetermined","American Indian / Alaska Native","North Carolina","0**","111,183","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","North Dakota","0**","37,660","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","Ohio","0**","22,750","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","Oklahoma","--","333,051","--","--","--"
"2022","Undetermined","American Indian / Alaska Native","Oregon","0**","46,042","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","Pennsylvania","0**","18,931","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","Rhode Island","0**","4,531","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","South Carolina","0**","19,274","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","South Dakota","--","70,119","--","--","--"
"2022","Undetermined","American Indian / Alaska Native","Tennessee","0**","20,274","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","Texas","0**","98,205","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","Utah","0**","30,187","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","Vermont","0**","2,094","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","Virginia","0**","23,207","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","Washington","0**","94,189","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","West Virginia","0**","3,901","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","Wisconsin","0**","52,201","0.00**","0.00**","--"
"2022","Undetermined","American Indian / Alaska Native","Wyoming","0**","11,827","0.00**","0.00**","--"
"2022","Undetermined","Asian","Alabama","0**","78,533","0.00**","0.00**","--"
"2022","Undetermined","Asian","Alaska","0**","47,853","0.00**","0.00**","--"
"2022","Undetermined","Asian","Arizona","0**","267,645","0.00**","0.00**","--"
"2022","Undetermined","Asian","Arkansas","0**","54,175","0.00**","0.00**","--"
"2022","Undetermined","Asian","Illinois","--","769,499","--","--","--"
"2022","Undetermined","Asian","Minnesota","--","308,785","--","--","--"
"2022","Undetermined","Asian","Mississippi","0**","33,278","0.00**","0.00**","--"
"2022","Undetermined","Asian","Missouri","0**","139,415","0.00**","0.00**","--"
"2022","Undetermined","Asian","Montana","0**","11,582","0.00**","0.00**","--"
"2022","Undetermined","Asian","Nebraska","0**","53,720","0.00**","0.00**","--"
"2022","Undetermined","Asian","Washington","--","794,517","--","--","--"
"2022","Undetermined","Asian","West Virginia","0**","15,864","0.00**","0.00**","--"
"2022","Undetermined","More than One Race","Arizona","--","168,966","--","--","--"
"2022","Undetermined","More than One Race","Louisiana","--","76,170","--","--","--"
"2022","Undetermined","More than One Race","Maine","0**","25,224","0.00**","0.00**","--"
"2022","Undetermined","More than One Race","Oklahoma","--","241,328","--","--","--"
"2022","Undetermined","More than One Race","South Carolina","--","103,064","--","--","--"
"2022","Undetermined","More than One Race","Wisconsin","--","113,061","--","--","--"
"2022","Undetermined","More than One Race","Wyoming","0**","11,434","0.00**","0.00**","--"
"2021","Unintentional","White","Alabama","--","3,277,437","--","--","--"
"2021","Unintentional","White","Alaska","--","433,519","--","--","--"
"2021","Unintentional","White","Arizona","--","3,877,927","--","--","--"
"2021","Unintentional","White","Arkansas","10**","2,157,615","0.46**","0.53**","336"
"2021","Unintentional","White","California","10**","13,811,099","0.07**","0.07**","161"
"2021","Unintentional","White","Colorado","--","3,889,617","--","--","--"
"2021","Unintentional","White","Connecticut","0**","2,340,336","0.00**","0.00**","--"
"2021","Unintentional","White","Delaware","0**","608,775","0.00**","0.00**","--"
"2021","Unintentional","White","District of Columbia","0**","249,566","0.00**","0.00**","--"
"2021","Unintentional","White","Florida","--","11,500,458","--","--","--"
"2021","Unintentional","White","Georgia","17**","5,501,156","0.31**","0.35**","588"
"2021","Unintentional","White","Hawaii","0**","308,366","0.00**","0.00**","--"
"2021","Unintentional","White","Idaho","--","1,543,708","--","--","--"
"2021","Unintentional","White","Illinois","--","7,591,611","--","--","--"
"2021","Unintentional","White","Indiana","12**","5,279,911","0.23**","0.26**","416"
"2021","Unintentional","White","Iowa","--","2,690,816","--","--","--"
"2021","Unintentional","White","Kansas","--","2,192,035","--","--","--"
"2021","Unintentional","White","Kentucky","18**","3,764,921","0.48**","0.48**","390"
"2021","Unintentional","White","Louisiana","11**","2,681,993","0.41**","0.43**","387"
"2021","Unintentional","White","Maine","--","1,274,066","--","--","--"
"2021","Unintentional","White","Maryland","0**","3,012,403","0.00**","0.00**","--"
"2021","Unintentional","White","Massachusetts","0**","4,902,675","0.00**","0.00**","--"
