"Date Printed: Wednesday, January 25, 2023 12:58:36 PM",,,,,,,,,,
Title: HIV diagnoses | 2019 | Ages 13 years and older | Black/African American | Both sexes | All transmission categories | US Map-County Level,,,,,,,,,,
,,,,,,,,,,
Footnote(s): Data for years 2021 and 2022 are preliminary (subject to a 12-month reporting delay). Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Inclusion of 2020 through 2022 data in trend assessments is discouraged. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.,,,,,,,,
HIV diagnoses,"Bradford County, Florida",12007,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"4,970"
HIV diagnoses,"Brevard County, Florida",12009,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,33,65.9,"50,071"
HIV diagnoses,"Broward County, Florida",12011,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,270,59.7,"452,181"
HIV diagnoses,"Calhoun County, Florida",12013,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"1,552"
HIV diagnoses,"Charlotte County, Florida",12015,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"9,125"
HIV diagnoses,"Citrus County, Florida",12017,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"3,707"
HIV diagnoses,"Clay County, Florida",12019,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,6,28.7,"20,934"
HIV diagnoses,"Collier County, Florida",12021,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,10,48.9,"20,452"
HIV diagnoses,"Columbia County, Florida",12023,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"10,959"
HIV diagnoses,"Desoto County, Florida",12027,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"3,924"
HIV diagnoses,"Dixie County, Florida",12029,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"1,431"
HIV diagnoses,"Duval County, Florida",12031,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,162,71.1,"227,842"
HIV diagnoses,"Escambia County, Florida",12033,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,25,43.1,"58,001"
HIV diagnoses,"Flagler County, Florida",12035,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"10,016"
HIV diagnoses,"Franklin County, Florida",12037,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"1,448"
HIV diagnoses,"Gadsden County, Florida",12039,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"20,843"
HIV diagnoses,"Gilchrist County, Florida",12041,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,873
HIV diagnoses,"Glades County, Florida",12043,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"1,630"
HIV diagnoses,"Gulf County, Florida",12045,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"1,291"
HIV diagnoses,"Hamilton County, Florida",12047,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"4,110"
HIV diagnoses,"Hardee County, Florida",12049,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"1,489"
HIV diagnoses,"Hendry County, Florida",12051,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"3,554"
HIV diagnoses,"Hernando County, Florida",12053,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"8,463"
HIV diagnoses,"Highlands County, Florida",12055,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"8,271"
HIV diagnoses,"Hillsborough County, Florida",12057,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,120,62.5,"191,851"
HIV diagnoses,"Holmes County, Florida",12059,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"1,198"
HIV diagnoses,"Indian River County, Florida",12061,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"11,636"
HIV diagnoses,"Jackson County, Florida",12063,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"10,428"
HIV diagnoses,"Jefferson County, Florida",12065,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"4,066"
HIV diagnoses,"Lafayette County, Florida",12067,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,941
HIV diagnoses,"Lake County, Florida",12069,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,10,31.6,"31,599"
HIV diagnoses,"Lee County, Florida",12071,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,24,47.9,"50,095"
HIV diagnoses,"Leon County, Florida",12073,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,39,50.6,"77,049"
HIV diagnoses,"Levy County, Florida",12075,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"3,042"
HIV diagnoses,"Liberty County, Florida",12077,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"1,503"
HIV diagnoses,"Madison County, Florida",12079,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"5,972"
HIV diagnoses,"Manatee County, Florida",12081,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,13,46.7,"27,850"
HIV diagnoses,"Marion County, Florida",12083,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,19,51,"37,221"
HIV diagnoses,"Martin County, Florida",12085,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"6,911"
HIV diagnoses,"Miami-Dade County, Florida",12086,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,301,87.5,"343,821"
HIV diagnoses,"Monroe County, Florida",12087,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,8,205.4,"3,895"
HIV diagnoses,"Nassau County, Florida",12089,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"4,363"
HIV diagnoses,"Okaloosa County, Florida",12091,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,8,46.9,"17,055"
HIV diagnoses,"Okeechobee County, Florida",12093,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"3,173"
HIV diagnoses,"Orange County, Florida",12095,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,194,84.5,"229,582"
HIV diagnoses,"Osceola County, Florida",12097,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,10,33.3,"30,032"
HIV diagnoses,"Palm Beach County, Florida",12099,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,119,52.5,"226,606"
HIV diagnoses,"Pasco County, Florida",12101,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,6,22.8,"26,367"
HIV diagnoses,"Pinellas County, Florida",12103,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,66,79,"83,533"
HIV diagnoses,"Polk County, Florida",12105,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,53,61.5,"86,123"
HIV diagnoses,"Putnam County, Florida",12107,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,6,63.7,"9,425"
HIV diagnoses,"St. Johns County, Florida",12109,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"11,426"
HIV diagnoses,"St. Lucie County, Florida",12111,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,20,36.7,"54,450"
HIV diagnoses,"Santa Rosa County, Florida",12113,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"9,965"
HIV diagnoses,"Sarasota County, Florida",12115,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,6,38.8,"15,454"
HIV diagnoses,"Seminole County, Florida",12117,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,25,55.7,"44,854"
HIV diagnoses,"Sumter County, Florida",12119,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"8,306"
HIV diagnoses,"Suwannee County, Florida",12121,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"4,575"
HIV diagnoses,"Taylor County, Florida",12123,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"3,566"
HIV diagnoses,"Union County, Florida",12125,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,6,193.7,"3,097"
HIV diagnoses,"Volusia County, Florida",12127,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,31,64.7,"47,933"
HIV diagnoses,"Wakulla County, Florida",12129,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"4,078"
HIV diagnoses,"Walton County, Florida",12131,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"3,200"
HIV diagnoses,"Washington County, Florida",12133,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"3,290"
HIV diagnoses,"Appling County, Georgia",13001,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"2,808"
HIV diagnoses,"Atkinson County, Georgia",13003,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"1,075"
HIV diagnoses,"Bacon County, Georgia",13005,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"1,349"
HIV diagnoses,"Baker County, Georgia",13007,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"1,132"
HIV diagnoses,"Baldwin County, Georgia",13009,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"15,975"
HIV diagnoses,"Banks County, Georgia",13011,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,437
HIV diagnoses,"Barrow County, Georgia",13013,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"8,499"
HIV diagnoses,"Bartow County, Georgia",13015,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"9,638"
HIV diagnoses,"Ben Hill County, Georgia",13017,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"4,909"
HIV diagnoses,"Berrien County, Georgia",13019,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"1,707"
HIV diagnoses,"Bibb County, Georgia",13021,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,59,87.4,"67,489"
HIV diagnoses,"Bleckley County, Georgia",13023,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"2,920"
HIV diagnoses,"Brantley County, Georgia",13025,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,550
HIV diagnoses,"Brooks County, Georgia",13027,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,5,115.5,"4,330"
HIV diagnoses,"Bryan County, Georgia",13029,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"4,548"
HIV diagnoses,"Bulloch County, Georgia",13031,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"19,293"
HIV diagnoses,"Burke County, Georgia",13033,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"8,314"
HIV diagnoses,"Butts County, Georgia",13035,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,8,131,"6,107"
HIV diagnoses,"Calhoun County, Georgia",13037,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"3,280"
HIV diagnoses,"Camden County, Georgia",13039,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"8,239"
HIV diagnoses,"Candler County, Georgia",13043,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"2,144"
HIV diagnoses,"Carroll County, Georgia",13045,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,6,31.6,"18,983"
HIV diagnoses,"Catoosa County, Georgia",13047,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"1,547"
HIV diagnoses,"Charlton County, Georgia",13049,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"3,518"
HIV diagnoses,"Chatham County, Georgia",13051,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,58,60.2,"96,327"
HIV diagnoses,"Chattahoochee County, Georgia",13053,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"1,664"
HIV diagnoses,"Chattooga County, Georgia",13055,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"2,112"
HIV diagnoses,"Cherokee County, Georgia",13057,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,6,40.3,"14,880"
HIV diagnoses,"Clarke County, Georgia",13059,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,11,37.4,"29,434"
HIV diagnoses,"Clay County, Georgia",13061,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"1,429"
HIV diagnoses,"Clayton County, Georgia",13063,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,118,70.9,"166,377"
HIV diagnoses,"Clinch County, Georgia",13065,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"1,380"
HIV diagnoses,"Cobb County, Georgia",13067,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,120,68.8,"174,519"
HIV diagnoses,"Coffee County, Georgia",13069,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,7,69.3,"10,106"
HIV diagnoses,"Colquitt County, Georgia",13071,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,6,71.3,"8,410"
HIV diagnoses,"Columbia County, Georgia",13073,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,9,38.7,"23,279"
HIV diagnoses,"Cook County, Georgia",13075,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,5,131.1,"3,813"
HIV diagnoses,"Coweta County, Georgia",13077,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,9,41.4,"21,721"
HIV diagnoses,"Crawford County, Georgia",13079,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"2,190"
HIV diagnoses,"Crisp County, Georgia",13081,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,6,76.5,"7,847"
HIV diagnoses,"Dade County, Georgia",13083,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,172
HIV diagnoses,"Dawson County, Georgia",13085,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,207
HIV diagnoses,"Decatur County, Georgia",13087,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,5,55.7,"8,975"
HIV diagnoses,"Dekalb County, Georgia",13089,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,274,80.5,"340,216"
HIV diagnoses,"Dodge County, Georgia",13091,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"5,282"
HIV diagnoses,"Dooly County, Georgia",13093,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,7,121,"5,787"
HIV diagnoses,"Dougherty County, Georgia",13095,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,35,69.4,"50,459"
HIV diagnoses,"Douglas County, Georgia",13097,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,25,43.4,"57,592"
HIV diagnoses,"Early County, Georgia",13099,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"4,142"
HIV diagnoses,"Echols County, Georgia",13101,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,175
HIV diagnoses,"Effingham County, Georgia",13103,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"7,206"
HIV diagnoses,"Elbert County, Georgia",13105,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"4,480"
HIV diagnoses,"Emanuel County, Georgia",13107,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"6,146"
HIV diagnoses,"Evans County, Georgia",13109,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"2,536"
HIV diagnoses,"Fannin County, Georgia",13111,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,165
HIV diagnoses,"Fayette County, Georgia",13113,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"24,045"
HIV diagnoses,"Floyd County, Georgia",13115,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,5,43.4,"11,532"
HIV diagnoses,"Forsyth County, Georgia",13117,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"8,039"
HIV diagnoses,"Franklin County, Georgia",13119,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"1,652"
HIV diagnoses,"Fulton County, Georgia",13121,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,402,104.5,"384,624"
HIV diagnoses,"Gilmer County, Georgia",13123,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,176
HIV diagnoses,"Glascock County, Georgia",13125,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,213
HIV diagnoses,"Glynn County, Georgia",13127,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,10,55.9,"17,886"
HIV diagnoses,"Gordon County, Georgia",13129,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"1,909"
HIV diagnoses,"Grady County, Georgia",13131,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"5,686"
HIV diagnoses,"Greene County, Georgia",13133,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"4,926"
HIV diagnoses,"Gwinnett County, Georgia",13135,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,124,58.5,"212,128"
HIV diagnoses,"Habersham County, Georgia",13137,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"1,417"
HIV diagnoses,"Hall County, Georgia",13139,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,5,40.3,"12,412"
HIV diagnoses,"Hancock County, Georgia",13141,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"5,291"
HIV diagnoses,"Haralson County, Georgia",13143,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"1,104"
HIV diagnoses,"Harris County, Georgia",13145,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"5,035"
HIV diagnoses,"Hart County, Georgia",13147,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"4,163"
HIV diagnoses,"Heard County, Georgia",13149,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,974
HIV diagnoses,"Henry County, Georgia",13151,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,38,41.7,"91,185"
HIV diagnoses,"Houston County, Georgia",13153,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,13,31.7,"40,987"
HIV diagnoses,"Irwin County, Georgia",13155,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"2,202"
HIV diagnoses,"Jackson County, Georgia",13157,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,5,116,"4,312"
HIV diagnoses,"Jasper County, Georgia",13159,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"2,281"
HIV diagnoses,"Jeff Davis County, Georgia",13161,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"1,830"
HIV diagnoses,"Jefferson County, Georgia",13163,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"6,583"
HIV diagnoses,"Jenkins County, Georgia",13165,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"3,049"
HIV diagnoses,"Johnson County, Georgia",13167,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"2,848"
HIV diagnoses,"Jones County, Georgia",13169,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"6,163"
HIV diagnoses,"Lamar County, Georgia",13171,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"4,827"
HIV diagnoses,"Lanier County, Georgia",13173,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"1,893"
HIV diagnoses,"Laurens County, Georgia",13175,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,5,35.3,"14,164"
HIV diagnoses,"Lee County, Georgia",13177,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,5,89.3,"5,601"
HIV diagnoses,"Liberty County, Georgia",13179,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,14,66,"21,220"
HIV diagnoses,"Lincoln County, Georgia",13181,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"1,929"
HIV diagnoses,"Long County, Georgia",13183,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"4,233"
HIV diagnoses,"Lowndes County, Georgia",13185,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,28,80.2,"34,908"
HIV diagnoses,"Lumpkin County, Georgia",13187,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,453
HIV diagnoses,"Mcduffie County, Georgia",13189,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"6,920"
HIV diagnoses,"Mcintosh County, Georgia",13191,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"4,245"
HIV diagnoses,"Macon County, Georgia",13193,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"6,827"
HIV diagnoses,"Madison County, Georgia",13195,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"2,303"
HIV diagnoses,"Marion County, Georgia",13197,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"2,142"
HIV diagnoses,"Meriwether County, Georgia",13199,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"6,731"
HIV diagnoses,"Miller County, Georgia",13201,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"1,249"
HIV diagnoses,"Mitchell County, Georgia",13205,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"8,531"
HIV diagnoses,"Monroe County, Georgia",13207,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"5,339"
HIV diagnoses,"Montgomery County, Georgia",13209,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"2,002"
HIV diagnoses,"Morgan County, Georgia",13211,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"3,445"
HIV diagnoses,"Murray County, Georgia",13213,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,253
HIV diagnoses,"Muscogee County, Georgia",13215,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,34,46,"73,852"
HIV diagnoses,"Newton County, Georgia",13217,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,12,28.2,"42,535"
HIV diagnoses,"Oconee County, Georgia",13219,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"1,661"
HIV diagnoses,"Oglethorpe County, Georgia",13221,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"2,232"
HIV diagnoses,"Paulding County, Georgia",13223,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,11,38,"28,942"
HIV diagnoses,"Peach County, Georgia",13225,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,5,48.2,"10,380"
HIV diagnoses,"Pickens County, Georgia",13227,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,315
HIV diagnoses,"Pierce County, Georgia",13229,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"1,328"
HIV diagnoses,"Pike County, Georgia",13231,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"1,497"
HIV diagnoses,"Polk County, Georgia",13233,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"4,267"
HIV diagnoses,"Pulaski County, Georgia",13235,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"3,024"
HIV diagnoses,"Putnam County, Georgia",13237,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"4,749"
HIV diagnoses,"Quitman County, Georgia",13239,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,928
HIV diagnoses,"Rabun County, Georgia",13241,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,194
HIV diagnoses,"Randolph County, Georgia",13243,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"3,459"
HIV diagnoses,"Richmond County, Georgia",13245,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,61,64.8,"94,201"
HIV diagnoses,"Rockdale County, Georgia",13247,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,13,30.6,"42,549"
HIV diagnoses,"Schley County, Georgia",13249,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,882
HIV diagnoses,"Screven County, Georgia",13251,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"4,769"
HIV diagnoses,"Seminole County, Georgia",13253,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"2,200"
HIV diagnoses,"Spalding County, Georgia",13255,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,9,48.9,"18,387"
HIV diagnoses,"Stephens County, Georgia",13257,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"2,287"
HIV diagnoses,"Stewart County, Georgia",13259,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"2,328"
