"Date Printed: Wednesday, January 25, 2023 12:12:47 PM"
Title: HIV diagnoses | 2019 | Ages 13 years and older | All races/ethnicities | Both sexes | All transmission categories | US Map-County Level

Footnote(s): Data for years 2021 and 2022 are preliminary (subject to a 12-month reporting delay). Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Inclusion of 2020 through 2022 data in trend assessments is discouraged. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.
NA - Not Applicable.




Indicator,Geography,FIPS,Year,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"HIV diagnoses","Osceola County, Florida","12097","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","77","24.8","310,286"
"HIV diagnoses","Palm Beach County, Florida","12099","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","236","18.2","1,296,275"
"HIV diagnoses","Pasco County, Florida","12101","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","45","9.5","474,614"
"HIV diagnoses","Pinellas County, Florida","12103","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","182","21.0","865,345"
"HIV diagnoses","Polk County, Florida","12105","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","125","20.4","611,771"
"HIV diagnoses","Putnam County, Florida","12107","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","11","17.5","62,961"
"HIV diagnoses","St. Johns County, Florida","12109","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","20","8.9","225,473"
"HIV diagnoses","St. Lucie County, Florida","12111","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","39","13.8","282,567"
"HIV diagnoses","Santa Rosa County, Florida","12113","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","6","3.8","156,141"
"HIV diagnoses","Sarasota County, Florida","12115","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","36","9.2","392,669"
"HIV diagnoses","Seminole County, Florida","12117","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","67","16.6","402,865"
"HIV diagnoses","Sumter County, Florida","12119","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","6","4.7","127,009"
"HIV diagnoses","Suwannee County, Florida","12121","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","37,835"
"HIV diagnoses","Taylor County, Florida","12123","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","18,430"
"HIV diagnoses","Union County, Florida","12125","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","10","76.7","13,036"
"HIV diagnoses","Volusia County, Florida","12127","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","78","16.1","484,800"
"HIV diagnoses","Wakulla County, Florida","12129","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","28,782"
"HIV diagnoses","Walton County, Florida","12131","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","10","15.8","63,114"
"HIV diagnoses","Washington County, Florida","12133","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","22,046"
"HIV diagnoses","Appling County, Georgia","13001","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","15,107"
"HIV diagnoses","Atkinson County, Georgia","13003","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","6,744"
"HIV diagnoses","Bacon County, Georgia","13005","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","9,086"
"HIV diagnoses","Baker County, Georgia","13007","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","2,631"
"HIV diagnoses","Baldwin County, Georgia","13009","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","5","12.8","39,121"
"HIV diagnoses","Banks County, Georgia","13011","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","16,228"
"HIV diagnoses","Barrow County, Georgia","13013","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","68,254"
"HIV diagnoses","Bartow County, Georgia","13015","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","9","10.0","89,710"
"HIV diagnoses","Ben Hill County, Georgia","13017","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","5","36.3","13,768"
"HIV diagnoses","Berrien County, Georgia","13019","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","16,172"
"HIV diagnoses","Bibb County, Georgia","13021","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","64","50.6","126,408"
"HIV diagnoses","Bleckley County, Georgia","13023","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","11,116"
"HIV diagnoses","Brantley County, Georgia","13025","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","16,018"
"HIV diagnoses","Brooks County, Georgia","13027","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","6","45.8","13,094"
"HIV diagnoses","Bryan County, Georgia","13029","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","31,375"
"HIV diagnoses","Bulloch County, Georgia","13031","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","6","8.8","68,271"
"HIV diagnoses","Burke County, Georgia","13033","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","6","32.6","18,424"
"HIV diagnoses","Butts County, Georgia","13035","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","14","65.8","21,276"
"HIV diagnoses","Calhoun County, Georgia","13037","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","5,480"
"HIV diagnoses","Camden County, Georgia","13039","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","44,944"
"HIV diagnoses","Candler County, Georgia","13043","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","8,941"
"HIV diagnoses","Carroll County, Georgia","13045","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","9","9.0","100,107"
"HIV diagnoses","Catoosa County, Georgia","13047","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","57,154"
"HIV diagnoses","Charlton County, Georgia","13049","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","10","86.7","11,528"
"HIV diagnoses","Chatham County, Georgia","13051","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","82","33.4","245,799"
"HIV diagnoses","Chattahoochee County, Georgia","13053","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","8,999"
"HIV diagnoses","Chattooga County, Georgia","13055","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","20,892"
"HIV diagnoses","Cherokee County, Georgia","13057","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","14","6.5","216,650"
"HIV diagnoses","Clarke County, Georgia","13059","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","15","13.4","112,013"
"HIV diagnoses","Clay County, Georgia","13061","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","2,494"
"HIV diagnoses","Clayton County, Georgia","13063","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","134","57.4","233,615"
"HIV diagnoses","Clinch County, Georgia","13065","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","5,428"
"HIV diagnoses","Cobb County, Georgia","13067","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","178","28.0","636,595"
"HIV diagnoses","Coffee County, Georgia","13069","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","15","42.1","35,636"
"HIV diagnoses","Colquitt County, Georgia","13071","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","7","18.8","37,185"
"HIV diagnoses","Columbia County, Georgia","13073","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","13","10.1","129,221"
"HIV diagnoses","Cook County, Georgia","13075","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","7","49.3","14,185"
"HIV diagnoses","Coweta County, Georgia","13077","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","14","11.3","123,836"
"HIV diagnoses","Crawford County, Georgia","13079","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","10,601"
"HIV diagnoses","Crisp County, Georgia","13081","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","6","32.2","18,649"
"HIV diagnoses","Dade County, Georgia","13083","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","13,924"
"HIV diagnoses","Dawson County, Georgia","13085","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","22,449"
"HIV diagnoses","Decatur County, Georgia","13087","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","10","45.7","21,890"
"HIV diagnoses","Dekalb County, Georgia","13089","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","343","54.4","630,568"
"HIV diagnoses","Dodge County, Georgia","13091","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","17,864"
"HIV diagnoses","Dooly County, Georgia","13093","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","8","67.3","11,884"
"HIV diagnoses","Dougherty County, Georgia","13095","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","41","56.3","72,787"
"HIV diagnoses","Douglas County, Georgia","13097","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","33","27.3","120,664"
"HIV diagnoses","Early County, Georgia","13099","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","8,393"
"HIV diagnoses","Echols County, Georgia","13101","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","3,181"
"HIV diagnoses","Effingham County, Georgia","13103","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","52,206"
"HIV diagnoses","Elbert County, Georgia","13105","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","16,179"
"HIV diagnoses","Emanuel County, Georgia","13107","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","18,531"
"HIV diagnoses","Evans County, Georgia","13109","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","8,658"
"HIV diagnoses","Fannin County, Georgia","13111","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","23,144"
"HIV diagnoses","Fayette County, Georgia","13113","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","97,629"
"HIV diagnoses","Floyd County, Georgia","13115","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","9","10.9","82,318"
"HIV diagnoses","Forsyth County, Georgia","13117","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","8","4.0","199,608"
"HIV diagnoses","Franklin County, Georgia","13119","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","19,681"
"HIV diagnoses","Fulton County, Georgia","13121","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","532","58.9","903,005"
"HIV diagnoses","Gilmer County, Georgia","13123","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","27,317"
"HIV diagnoses","Glascock County, Georgia","13125","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","2,531"
"HIV diagnoses","Glynn County, Georgia","13127","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","14","19.3","72,458"
"HIV diagnoses","Gordon County, Georgia","13129","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","48,477"
"HIV diagnoses","Grady County, Georgia","13131","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","20,272"
"HIV diagnoses","Greene County, Georgia","13133","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","5","31.6","15,844"
"HIV diagnoses","Gwinnett County, Georgia","13135","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","211","27.6","763,401"
"HIV diagnoses","Habersham County, Georgia","13137","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","38,356"
"HIV diagnoses","Hall County, Georgia","13139","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","20","11.8","168,812"
"HIV diagnoses","Hancock County, Georgia","13141","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","7,595"
"HIV diagnoses","Haralson County, Georgia","13143","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","24,806"
"HIV diagnoses","Harris County, Georgia","13145","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","30,050"
"HIV diagnoses","Hart County, Georgia","13147","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","22,429"
"HIV diagnoses","Heard County, Georgia","13149","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","9,957"
"HIV diagnoses","Henry County, Georgia","13151","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","45","23.1","194,756"
"HIV diagnoses","Houston County, Georgia","13153","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","22","17.1","128,706"
"HIV diagnoses","Irwin County, Georgia","13155","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","7","86.5","8,088"
"HIV diagnoses","Jackson County, Georgia","13157","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","9","15.0","60,027"
"HIV diagnoses","Jasper County, Georgia","13159","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","11,907"
"HIV diagnoses","Jeff Davis County, Georgia","13161","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","12,321"
"HIV diagnoses","Jefferson County, Georgia","13163","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","12,804"
"HIV diagnoses","Jenkins County, Georgia","13165","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","7,492"
"HIV diagnoses","Johnson County, Georgia","13167","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","8,445"
"HIV diagnoses","Jones County, Georgia","13169","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","24,223"
"HIV diagnoses","Lamar County, Georgia","13171","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","16,142"
"HIV diagnoses","Lanier County, Georgia","13173","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","8,747"
"HIV diagnoses","Laurens County, Georgia","13175","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","6","15.3","39,224"
"HIV diagnoses","Lee County, Georgia","13177","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","9","36.7","24,510"
"HIV diagnoses","Liberty County, Georgia","13179","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","16","32.6","49,117"
"HIV diagnoses","Lincoln County, Georgia","13181","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","6,907"
"HIV diagnoses","Long County, Georgia","13183","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","15,766"
"HIV diagnoses","Lowndes County, Georgia","13185","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","35","36.2","96,747"
"HIV diagnoses","Lumpkin County, Georgia","13187","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","29,621"
"HIV diagnoses","Mcduffie County, Georgia","13189","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","6","34.3","17,474"
"HIV diagnoses","Mcintosh County, Georgia","13191","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","12,730"
"HIV diagnoses","Macon County, Georgia","13193","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","11,221"
"HIV diagnoses","Madison County, Georgia","13195","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","25,072"
"HIV diagnoses","Marion County, Georgia","13197","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","7,206"
"HIV diagnoses","Meriwether County, Georgia","13199","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","17,894"
"HIV diagnoses","Miller County, Georgia","13201","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","4,742"
"HIV diagnoses","Mitchell County, Georgia","13205","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","7","38.2","18,316"
"HIV diagnoses","Monroe County, Georgia","13207","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","23,758"
"HIV diagnoses","Montgomery County, Georgia","13209","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","7,845"
"HIV diagnoses","Morgan County, Georgia","13211","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","16,224"
"HIV diagnoses","Murray County, Georgia","13213","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","33,178"
"HIV diagnoses","Muscogee County, Georgia","13215","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","48","30.0","160,183"
"HIV diagnoses","Newton County, Georgia","13217","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","17","18.5","91,900"
"HIV diagnoses","Oconee County, Georgia","13219","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","33,148"
"HIV diagnoses","Oglethorpe County, Georgia","13221","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","12,981"
"HIV diagnoses","Paulding County, Georgia","13223","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","15","10.8","138,748"
"HIV diagnoses","Peach County, Georgia","13225","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","6","25.4","23,601"
"HIV diagnoses","Pickens County, Georgia","13227","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","28,198"
"HIV diagnoses","Pierce County, Georgia","13229","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","16,096"
"HIV diagnoses","Pike County, Georgia","13231","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","16,040"
"HIV diagnoses","Polk County, Georgia","13233","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","34,975"
"HIV diagnoses","Pulaski County, Georgia","13235","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","9,787"
"HIV diagnoses","Putnam County, Georgia","13237","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","19,016"
"HIV diagnoses","Quitman County, Georgia","13239","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","1,993"
"HIV diagnoses","Rabun County, Georgia","13241","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","15,178"
"HIV diagnoses","Randolph County, Georgia","13243","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","5,810"
"HIV diagnoses","Richmond County, Georgia","13245","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","70","41.5","168,737"
"HIV diagnoses","Rockdale County, Georgia","13247","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","19","25.1","75,557"
"HIV diagnoses","Schley County, Georgia","13249","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","4,413"
"HIV diagnoses","Screven County, Georgia","13251","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","11,838"
"HIV diagnoses","Seminole County, Georgia","13253","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","6,926"
"HIV diagnoses","Spalding County, Georgia","13255","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","11","19.8","55,567"
"HIV diagnoses","Stephens County, Georgia","13257","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","21,817"
"HIV diagnoses","Stewart County, Georgia","13259","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","6,113"
"HIV diagnoses","Sumter County, Georgia","13261","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","24,607"
"HIV diagnoses","Talbot County, Georgia","13263","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","5,469"
"HIV diagnoses","Taliaferro County, Georgia","13265","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","1,360"
"HIV diagnoses","Tattnall County, Georgia","13267","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","21,655"
"HIV diagnoses","Taylor County, Georgia","13269","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","6,934"
"HIV diagnoses","Telfair County, Georgia","13271","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","14,057"
"HIV diagnoses","Terrell County, Georgia","13273","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","7,154"
"HIV diagnoses","Thomas County, Georgia","13275","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","7","19.0","36,878"
"HIV diagnoses","Tift County, Georgia","13277","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","7","21.0","33,391"
"HIV diagnoses","Toombs County, Georgia","13279","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","21,839"
"HIV diagnoses","Towns County, Georgia","13281","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","10,903"
"HIV diagnoses","Treutlen County, Georgia","13283","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","5,731"
"HIV diagnoses","Troup County, Georgia","13285","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","9","15.5","57,963"
"HIV diagnoses","Turner County, Georgia","13287","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","5","77.0","6,490"
"HIV diagnoses","Twiggs County, Georgia","13289","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","7,049"
"HIV diagnoses","Union County, Georgia","13291","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","5","22.7","22,010"
"HIV diagnoses","Upson County, Georgia","13293","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","5","22.6","22,082"
"HIV diagnoses","Walker County, Georgia","13295","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","8","13.5","59,197"
"HIV diagnoses","Walton County, Georgia","13297","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","10","12.7","78,962"
"HIV diagnoses","Ware County, Georgia","13299","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","5","17.0","29,453"
"HIV diagnoses","Warren County, Georgia","13301","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","4,494"
"HIV diagnoses","Washington County, Georgia","13303","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","17,179"
"HIV diagnoses","Wayne County, Georgia","13305","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","24,873"
"HIV diagnoses","Webster County, Georgia","13307","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","2,246"
"HIV diagnoses","Wheeler County, Georgia","13309","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","6,938"
"HIV diagnoses","White County, Georgia","13311","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","26,485"
"HIV diagnoses","Whitfield County, Georgia","13313","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","85,602"
"HIV diagnoses","Wilcox County, Georgia","13315","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","7,441"
"HIV diagnoses","Wilkes County, Georgia","13317","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","8,336"
"HIV diagnoses","Wilkinson County, Georgia","13319","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","7,540"
"HIV diagnoses","Worth County, Georgia","13321","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","17,050"
"HIV diagnoses","Hawaii County, Hawaii","15001","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","8","4.7","170,525"
"HIV diagnoses","Honolulu County, Hawaii","15003","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","51","6.2","820,521"
"HIV diagnoses","Kalawao County, Hawaii","15005","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","87"
"HIV diagnoses","Kauai County, Hawaii","15007","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","60,798"
"HIV diagnoses","Maui County, Hawaii","15009","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","141,279"
"HIV diagnoses","Ada County, Idaho","16001","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","13","3.2","404,196"
"HIV diagnoses","Adams County, Idaho","16003","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","3,755"
"HIV diagnoses","Bannock County, Idaho","16005","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","71,563"
