Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Rate per 100000,Rate LCI,Rate UCI,Population
"HIV Stigma","2019","Nevada","32","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2019","New Hampshire","33","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2019","New Jersey","34","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","31.0","28.2","33.9","NA"
"HIV Stigma","2019","New Mexico","35","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2019","New York","36","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","28.9","26.3","31.5","NA"
"HIV Stigma","2019","North Carolina","37","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","30.6","27.1","34.2","NA"
"HIV Stigma","2019","North Dakota","38","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2019","Northern Mariana Islands","69","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2019","Ohio","39","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2019","Oklahoma","40","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2019","Oregon","41","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","31.7","25.0","38.3","NA"
"HIV Stigma","2019","Palau","70","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2019","Pennsylvania","42","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","32.4","27.5","37.3","NA"
"HIV Stigma","2019","Puerto Rico","72","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","34.7","30.8","38.6","NA"
"HIV Stigma","2019","Rhode Island","44","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2019","South Carolina","45","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2019","South Dakota","46","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2019","Tennessee","47","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2019","Texas","48","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","32.1","29.2","35.0","NA"
"HIV Stigma","2019","U.S. Virgin Islands","78","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2019","Utah","49","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2019","Vermont","50","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2019","Virginia","51","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","34.7","31.1","38.2","NA"
"HIV Stigma","2019","Washington","53","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","24.0","20.7","27.3","NA"
"HIV Stigma","2019","West Virginia","54","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2019","Wisconsin","55","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2019","Wyoming","56","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","American Samoa","60","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","27.7","25.2","30.1","NA"
"HIV Stigma","2018","Colorado","08","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","Connecticut","09","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","Delaware","10","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","25.8","20.8","30.8","NA"
"HIV Stigma","2018","District of Columbia","11","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","Florida","12","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","30.4","26.8","34.0","NA"
"HIV Stigma","2018","Georgia","13","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","28.4","23.2","33.6","NA"
"HIV Stigma","2018","Guam","66","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","Hawaii","15","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","Idaho","16","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","Illinois","17","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","33.9","29.8","37.9","NA"
"HIV Stigma","2018","Indiana","18","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","33.3","27.3","39.3","NA"
"HIV Stigma","2018","Iowa","19","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","Kansas","20","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","Kentucky","21","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","Louisiana","22","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","Maine","23","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","Maryland","24","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","Massachusetts","25","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","Michigan","26","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","34.4","30.6","38.1","NA"
"HIV Stigma","2018","Minnesota","27","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","Mississippi","28","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","29.9","24.1","35.6","NA"
"HIV Stigma","2018","Missouri","29","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","Montana","30","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","Nebraska","31","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","Nevada","32","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","New Hampshire","33","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","New Jersey","34","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","30.6","28.1","33.2","NA"
"HIV Stigma","2018","New Mexico","35","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","New York","36","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","29.6","27.5","31.7","NA"
"HIV Stigma","2018","North Carolina","37","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","32.3","28.6","36.0","NA"
"HIV Stigma","2018","North Dakota","38","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","Northern Mariana Islands","69","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","Ohio","39","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","Oklahoma","40","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","Oregon","41","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","30.1","26.8","33.3","NA"
"HIV Stigma","2018","Palau","70","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","Pennsylvania","42","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","30.4","24.7","36.1","NA"
"HIV Stigma","2018","Puerto Rico","72","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","33.5","30.6","36.3","NA"
"HIV Stigma","2018","Rhode Island","44","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","South Carolina","45","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","South Dakota","46","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","Tennessee","47","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","Texas","48","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","35.1","31.8","38.4","NA"
"HIV Stigma","2018","U.S. Virgin Islands","78","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","Utah","49","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","Vermont","50","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","Virginia","51","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","30.4","26.9","33.9","NA"
"HIV Stigma","2018","Washington","53","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","30.6","26.3","35.0","NA"
"HIV Stigma","2018","West Virginia","54","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","Wisconsin","55","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2018","Wyoming","56","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
