"Date Printed: Wednesday, March 1, 2023 11:33:35 AM"
Title: "PrEP coverage and number of persons prescribed | 2017 | 2018 | 2019 | Alabama | Alaska | American Samoa | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Guam | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Northern Mariana Islands | Ohio | Oklahoma | Oregon | Pennsylvania | Puerto Rico | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | U.S. Virgin Islands | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | 13-24 | 25-34 | 35-44 | 45-54 | 55+ | All transmission categories"
Footnote(s): PrEP coverage, reported as a percentage, is calculated as the number of persons aged &ge;16 years classified as having been prescribed PrEP divided by the estimated number of persons aged &ge;16 years who had indications for PrEP. Number prescribed, or “cases”, is defined as the number of persons aged &ge;16 years classified as having been prescribed PrEP during the specified year and includes all FDA-approved drugs for PrEP. “Population” is the annual estimated number of persons with PrEP indications. Total includes people categorized by IQVIA as Black, White, Hispanic, or Other race. Race/ethnicity data are adjusted due to large proportion of missing race/ethnicity. To allow for comparison with other HIV indicators, data are presented for &ge;13- and 13–24-year-olds, but represent &ge;16- and 16-24-years-olds, respectively. Number prescribed are reported through June 2022
"PrEP coverage and number of persons prescribed","2018","Idaho","16","13-24","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","910"
"PrEP coverage and number of persons prescribed","2017","Idaho","16","55+","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","420"
"PrEP coverage and number of persons prescribed","2017","Idaho","16","45-54","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","590"
"PrEP coverage and number of persons prescribed","2017","Idaho","16","35-44","All races/ethnicities","Both sexes","All transmission categories","54","8.1","670"
"PrEP coverage and number of persons prescribed","2017","Idaho","16","25-34","All races/ethnicities","Both sexes","All transmission categories","110","7.3","1,510"
"PrEP coverage and number of persons prescribed","2017","Idaho","16","13-24","All races/ethnicities","Both sexes","All transmission categories","48","7.2","670"
"PrEP coverage and number of persons prescribed","2019","Illinois","17","55+","All races/ethnicities","Both sexes","All transmission categories","1,081","23.7","4,560"
"PrEP coverage and number of persons prescribed","2019","Illinois","17","45-54","All races/ethnicities","Both sexes","All transmission categories","1,961","24.0","8,170"
"PrEP coverage and number of persons prescribed","2019","Illinois","17","35-44","All races/ethnicities","Both sexes","All transmission categories","3,904","37.9","10,300"
"PrEP coverage and number of persons prescribed","2019","Illinois","17","25-34","All races/ethnicities","Both sexes","All transmission categories","7,317","38.0","19,250"
"PrEP coverage and number of persons prescribed","2019","Illinois","17","13-24","All races/ethnicities","Both sexes","All transmission categories","2,392","17.6","13,580"
"PrEP coverage and number of persons prescribed","2018","Illinois","17","55+","All races/ethnicities","Both sexes","All transmission categories","812","17.8","4,560"
"PrEP coverage and number of persons prescribed","2018","Illinois","17","45-54","All races/ethnicities","Both sexes","All transmission categories","1,750","21.4","8,170"
"PrEP coverage and number of persons prescribed","2018","Illinois","17","35-44","All races/ethnicities","Both sexes","All transmission categories","3,181","30.9","10,300"
"PrEP coverage and number of persons prescribed","2018","Illinois","17","25-34","All races/ethnicities","Both sexes","All transmission categories","6,156","32.0","19,250"
"PrEP coverage and number of persons prescribed","2018","Illinois","17","13-24","All races/ethnicities","Both sexes","All transmission categories","1,969","14.5","13,580"
"PrEP coverage and number of persons prescribed","2017","Illinois","17","55+","All races/ethnicities","Both sexes","All transmission categories","610","13.8","4,410"
"PrEP coverage and number of persons prescribed","2017","Illinois","17","45-54","All races/ethnicities","Both sexes","All transmission categories","1,348","17.6","7,650"
"PrEP coverage and number of persons prescribed","2017","Illinois","17","35-44","All races/ethnicities","Both sexes","All transmission categories","2,410","23.5","10,260"
"PrEP coverage and number of persons prescribed","2017","Illinois","17","25-34","All races/ethnicities","Both sexes","All transmission categories","4,265","23.4","18,190"
"PrEP coverage and number of persons prescribed","2017","Illinois","17","13-24","All races/ethnicities","Both sexes","All transmission categories","1,503","10.7","14,110"
"PrEP coverage and number of persons prescribed","2019","Indiana","18","55+","All races/ethnicities","Both sexes","All transmission categories","266","13.6","1,950"
"PrEP coverage and number of persons prescribed","2019","Indiana","18","45-54","All races/ethnicities","Both sexes","All transmission categories","438","19.5","2,250"
"PrEP coverage and number of persons prescribed","2019","Indiana","18","35-44","All races/ethnicities","Both sexes","All transmission categories","639","15.1","4,240"
"PrEP coverage and number of persons prescribed","2019","Indiana","18","25-34","All races/ethnicities","Both sexes","All transmission categories","1,170","14.0","8,360"
"PrEP coverage and number of persons prescribed","2019","Indiana","18","13-24","All races/ethnicities","Both sexes","All transmission categories","472","8.8","5,370"
"PrEP coverage and number of persons prescribed","2018","Indiana","18","55+","All races/ethnicities","Both sexes","All transmission categories","182","9.3","1,950"
"PrEP coverage and number of persons prescribed","2018","Indiana","18","45-54","All races/ethnicities","Both sexes","All transmission categories","330","14.7","2,250"
"PrEP coverage and number of persons prescribed","2018","Indiana","18","35-44","All races/ethnicities","Both sexes","All transmission categories","468","11.0","4,240"
"PrEP coverage and number of persons prescribed","2018","Indiana","18","25-34","All races/ethnicities","Both sexes","All transmission categories","861","10.3","8,360"
"PrEP coverage and number of persons prescribed","2018","Indiana","18","13-24","All races/ethnicities","Both sexes","All transmission categories","358","6.7","5,370"
"PrEP coverage and number of persons prescribed","2017","Indiana","18","55+","All races/ethnicities","Both sexes","All transmission categories","124","6.0","2,050"
"PrEP coverage and number of persons prescribed","2017","Indiana","18","45-54","All races/ethnicities","Both sexes","All transmission categories","264","8.4","3,140"
"PrEP coverage and number of persons prescribed","2017","Indiana","18","35-44","All races/ethnicities","Both sexes","All transmission categories","326","8.3","3,930"
"PrEP coverage and number of persons prescribed","2017","Indiana","18","25-34","All races/ethnicities","Both sexes","All transmission categories","586","8.0","7,370"
"PrEP coverage and number of persons prescribed","2017","Indiana","18","13-24","All races/ethnicities","Both sexes","All transmission categories","257","5.0","5,150"
"PrEP coverage and number of persons prescribed","2019","Iowa","19","55+","All races/ethnicities","Both sexes","All transmission categories","114","Data suppressed","0"
"PrEP coverage and number of persons prescribed","2019","Iowa","19","45-54","All races/ethnicities","Both sexes","All transmission categories","162","35.2","460"
"PrEP coverage and number of persons prescribed","2019","Iowa","19","35-44","All races/ethnicities","Both sexes","All transmission categories","308","49.7","620"
"PrEP coverage and number of persons prescribed","2019","Iowa","19","25-34","All races/ethnicities","Both sexes","All transmission categories","561","54.5","1,030"
"PrEP coverage and number of persons prescribed","2019","Iowa","19","13-24","All races/ethnicities","Both sexes","All transmission categories","270","14.5","1,860"
"PrEP coverage and number of persons prescribed","2018","Iowa","19","55+","All races/ethnicities","Both sexes","All transmission categories","78","Data suppressed","0"
"PrEP coverage and number of persons prescribed","2018","Iowa","19","45-54","All races/ethnicities","Both sexes","All transmission categories","132","28.7","460"
"PrEP coverage and number of persons prescribed","2018","Iowa","19","35-44","All races/ethnicities","Both sexes","All transmission categories","253","40.8","620"
"PrEP coverage and number of persons prescribed","2018","Iowa","19","25-34","All races/ethnicities","Both sexes","All transmission categories","483","46.9","1,030"
"PrEP coverage and number of persons prescribed","2018","Iowa","19","13-24","All races/ethnicities","Both sexes","All transmission categories","203","10.9","1,860"
"PrEP coverage and number of persons prescribed","2017","Iowa","19","55+","All races/ethnicities","Both sexes","All transmission categories","61","11.3","540"
"PrEP coverage and number of persons prescribed","2017","Iowa","19","45-54","All races/ethnicities","Both sexes","All transmission categories","104","13.9","750"
"PrEP coverage and number of persons prescribed","2017","Iowa","19","35-44","All races/ethnicities","Both sexes","All transmission categories","175","34.3","510"
"PrEP coverage and number of persons prescribed","2017","Iowa","19","25-34","All races/ethnicities","Both sexes","All transmission categories","304","23.6","1,290"
"PrEP coverage and number of persons prescribed","2017","Iowa","19","13-24","All races/ethnicities","Both sexes","All transmission categories","125","10.5","1,190"
"PrEP coverage and number of persons prescribed","2019","Kansas","20","55+","All races/ethnicities","Both sexes","All transmission categories","79","23.9","330"
"PrEP coverage and number of persons prescribed","2019","Kansas","20","45-54","All races/ethnicities","Both sexes","All transmission categories","118","20.0","590"
"PrEP coverage and number of persons prescribed","2019","Kansas","20","35-44","All races/ethnicities","Both sexes","All transmission categories","181","17.4","1,040"
"PrEP coverage and number of persons prescribed","2019","Kansas","20","25-34","All races/ethnicities","Both sexes","All transmission categories","368","20.9","1,760"
"PrEP coverage and number of persons prescribed","2019","Kansas","20","13-24","All races/ethnicities","Both sexes","All transmission categories","162","12.1","1,340"
"PrEP coverage and number of persons prescribed","2018","Kansas","20","55+","All races/ethnicities","Both sexes","All transmission categories","57","17.3","330"
"PrEP coverage and number of persons prescribed","2018","Kansas","20","45-54","All races/ethnicities","Both sexes","All transmission categories","117","19.8","590"
"PrEP coverage and number of persons prescribed","2018","Kansas","20","35-44","All races/ethnicities","Both sexes","All transmission categories","161","15.5","1,040"
"PrEP coverage and number of persons prescribed","2018","Kansas","20","25-34","All races/ethnicities","Both sexes","All transmission categories","278","15.8","1,760"
"PrEP coverage and number of persons prescribed","2018","Kansas","20","13-24","All races/ethnicities","Both sexes","All transmission categories","110","8.2","1,340"
"PrEP coverage and number of persons prescribed","2017","Kansas","20","55+","All races/ethnicities","Both sexes","All transmission categories","43","13.4","320"
"PrEP coverage and number of persons prescribed","2017","Kansas","20","45-54","All races/ethnicities","Both sexes","All transmission categories","88","13.5","650"
"PrEP coverage and number of persons prescribed","2017","Kansas","20","35-44","All races/ethnicities","Both sexes","All transmission categories","120","17.1","700"
"PrEP coverage and number of persons prescribed","2017","Kansas","20","25-34","All races/ethnicities","Both sexes","All transmission categories","189","10.2","1,860"
"PrEP coverage and number of persons prescribed","2017","Kansas","20","13-24","All races/ethnicities","Both sexes","All transmission categories","85","4.2","2,040"
"PrEP coverage and number of persons prescribed","2019","Kentucky","21","55+","All races/ethnicities","Both sexes","All transmission categories","122","11.3","1,080"
"PrEP coverage and number of persons prescribed","2019","Kentucky","21","45-54","All races/ethnicities","Both sexes","All transmission categories","281","17.9","1,570"
"PrEP coverage and number of persons prescribed","2019","Kentucky","21","35-44","All races/ethnicities","Both sexes","All transmission categories","372","13.8","2,690"
"PrEP coverage and number of persons prescribed","2019","Kentucky","21","25-34","All races/ethnicities","Both sexes","All transmission categories","608","12.4","4,890"
"PrEP coverage and number of persons prescribed","2019","Kentucky","21","13-24","All races/ethnicities","Both sexes","All transmission categories","219","7.9","2,760"
"PrEP coverage and number of persons prescribed","2018","Kentucky","21","55+","All races/ethnicities","Both sexes","All transmission categories","76","7.0","1,080"
"PrEP coverage and number of persons prescribed","2018","Kentucky","21","45-54","All races/ethnicities","Both sexes","All transmission categories","213","13.6","1,570"
"PrEP coverage and number of persons prescribed","2018","Kentucky","21","35-44","All races/ethnicities","Both sexes","All transmission categories","300","11.2","2,690"
"PrEP coverage and number of persons prescribed","2018","Kentucky","21","25-34","All races/ethnicities","Both sexes","All transmission categories","458","9.4","4,890"
"PrEP coverage and number of persons prescribed","2018","Kentucky","21","13-24","All races/ethnicities","Both sexes","All transmission categories","157","5.7","2,760"
"PrEP coverage and number of persons prescribed","2017","Kentucky","21","55+","All races/ethnicities","Both sexes","All transmission categories","53","4.7","1,120"
"PrEP coverage and number of persons prescribed","2017","Kentucky","21","45-54","All races/ethnicities","Both sexes","All transmission categories","129","5.6","2,320"
"PrEP coverage and number of persons prescribed","2017","Kentucky","21","35-44","All races/ethnicities","Both sexes","All transmission categories","182","7.5","2,420"
"PrEP coverage and number of persons prescribed","2017","Kentucky","21","25-34","All races/ethnicities","Both sexes","All transmission categories","293","6.1","4,780"
"PrEP coverage and number of persons prescribed","2017","Kentucky","21","13-24","All races/ethnicities","Both sexes","All transmission categories","91","3.6","2,530"
"PrEP coverage and number of persons prescribed","2019","Louisiana","22","55+","All races/ethnicities","Both sexes","All transmission categories","370","30.8","1,200"
"PrEP coverage and number of persons prescribed","2019","Louisiana","22","45-54","All races/ethnicities","Both sexes","All transmission categories","524","24.3","2,160"
"PrEP coverage and number of persons prescribed","2019","Louisiana","22","35-44","All races/ethnicities","Both sexes","All transmission categories","894","28.6","3,130"
"PrEP coverage and number of persons prescribed","2019","Louisiana","22","25-34","All races/ethnicities","Both sexes","All transmission categories","1,486","25.9","5,730"
"PrEP coverage and number of persons prescribed","2019","Louisiana","22","13-24","All races/ethnicities","Both sexes","All transmission categories","644","17.4","3,700"
"PrEP coverage and number of persons prescribed","2018","Louisiana","22","55+","All races/ethnicities","Both sexes","All transmission categories","290","24.2","1,200"
"PrEP coverage and number of persons prescribed","2018","Louisiana","22","45-54","All races/ethnicities","Both sexes","All transmission categories","445","20.6","2,160"
"PrEP coverage and number of persons prescribed","2018","Louisiana","22","35-44","All races/ethnicities","Both sexes","All transmission categories","743","23.7","3,130"
"PrEP coverage and number of persons prescribed","2018","Louisiana","22","25-34","All races/ethnicities","Both sexes","All transmission categories","1,270","22.2","5,730"
"PrEP coverage and number of persons prescribed","2018","Louisiana","22","13-24","All races/ethnicities","Both sexes","All transmission categories","547","14.8","3,700"
"PrEP coverage and number of persons prescribed","2017","Louisiana","22","55+","All races/ethnicities","Both sexes","All transmission categories","198","13.4","1,480"
"PrEP coverage and number of persons prescribed","2017","Louisiana","22","45-54","All races/ethnicities","Both sexes","All transmission categories","301","15.7","1,920"
"PrEP coverage and number of persons prescribed","2017","Louisiana","22","35-44","All races/ethnicities","Both sexes","All transmission categories","476","18.1","2,630"
"PrEP coverage and number of persons prescribed","2017","Louisiana","22","25-34","All races/ethnicities","Both sexes","All transmission categories","853","15.1","5,660"
"PrEP coverage and number of persons prescribed","2017","Louisiana","22","13-24","All races/ethnicities","Both sexes","All transmission categories","358","9.4","3,800"
"PrEP coverage and number of persons prescribed","2019","Maine","23","55+","All races/ethnicities","Both sexes","All transmission categories","88","13.3","660"
"PrEP coverage and number of persons prescribed","2019","Maine","23","45-54","All races/ethnicities","Both sexes","All transmission categories","113","28.3","400"
"PrEP coverage and number of persons prescribed","2019","Maine","23","35-44","All races/ethnicities","Both sexes","All transmission categories","137","14.9","920"
"PrEP coverage and number of persons prescribed","2019","Maine","23","25-34","All races/ethnicities","Both sexes","All transmission categories","224","14.2","1,580"
"PrEP coverage and number of persons prescribed","2019","Maine","23","13-24","All races/ethnicities","Both sexes","All transmission categories","92","23.0","400"
"PrEP coverage and number of persons prescribed","2018","Maine","23","55+","All races/ethnicities","Both sexes","All transmission categories","63","9.5","660"
"PrEP coverage and number of persons prescribed","2018","Maine","23","45-54","All races/ethnicities","Both sexes","All transmission categories","81","20.3","400"
"PrEP coverage and number of persons prescribed","2018","Maine","23","35-44","All races/ethnicities","Both sexes","All transmission categories","121","13.2","920"
"PrEP coverage and number of persons prescribed","2018","Maine","23","25-34","All races/ethnicities","Both sexes","All transmission categories","153","9.7","1,580"
"PrEP coverage and number of persons prescribed","2018","Maine","23","13-24","All races/ethnicities","Both sexes","All transmission categories","81","20.3","400"
"PrEP coverage and number of persons prescribed","2017","Maine","23","55+","All races/ethnicities","Both sexes","All transmission categories","45","10.0","450"
"PrEP coverage and number of persons prescribed","2017","Maine","23","45-54","All races/ethnicities","Both sexes","All transmission categories","60","8.8","680"
"PrEP coverage and number of persons prescribed","2017","Maine","23","35-44","All races/ethnicities","Both sexes","All transmission categories","86","15.4","560"
"PrEP coverage and number of persons prescribed","2017","Maine","23","25-34","All races/ethnicities","Both sexes","All transmission categories","88","7.1","1,240"
"PrEP coverage and number of persons prescribed","2017","Maine","23","13-24","All races/ethnicities","Both sexes","All transmission categories","40","11.8","340"
"PrEP coverage and number of persons prescribed","2019","Maryland","24","55+","All races/ethnicities","Both sexes","All transmission categories","388","13.0","2,990"
"PrEP coverage and number of persons prescribed","2019","Maryland","24","45-54","All races/ethnicities","Both sexes","All transmission categories","608","14.4","4,220"
"PrEP coverage and number of persons prescribed","2019","Maryland","24","35-44","All races/ethnicities","Both sexes","All transmission categories","1,109","21.6","5,130"
"PrEP coverage and number of persons prescribed","2019","Maryland","24","25-34","All races/ethnicities","Both sexes","All transmission categories","2,006","20.7","9,680"
"PrEP coverage and number of persons prescribed","2019","Maryland","24","13-24","All races/ethnicities","Both sexes","All transmission categories","814","15.4","5,290"
"PrEP coverage and number of persons prescribed","2018","Maryland","24","55+","All races/ethnicities","Both sexes","All transmission categories","301","10.1","2,990"
"PrEP coverage and number of persons prescribed","2018","Maryland","24","45-54","All races/ethnicities","Both sexes","All transmission categories","500","11.8","4,220"
"PrEP coverage and number of persons prescribed","2018","Maryland","24","35-44","All races/ethnicities","Both sexes","All transmission categories","863","16.8","5,130"
"PrEP coverage and number of persons prescribed","2018","Maryland","24","25-34","All races/ethnicities","Both sexes","All transmission categories","1,618","16.7","9,680"
"PrEP coverage and number of persons prescribed","2018","Maryland","24","13-24","All races/ethnicities","Both sexes","All transmission categories","653","12.3","5,290"
"PrEP coverage and number of persons prescribed","2017","Maryland","24","55+","All races/ethnicities","Both sexes","All transmission categories","204","6.4","3,190"
"PrEP coverage and number of persons prescribed","2017","Maryland","24","45-54","All races/ethnicities","Both sexes","All transmission categories","375","9.0","4,150"
"PrEP coverage and number of persons prescribed","2017","Maryland","24","35-44","All races/ethnicities","Both sexes","All transmission categories","586","11.7","5,000"
"PrEP coverage and number of persons prescribed","2017","Maryland","24","25-34","All races/ethnicities","Both sexes","All transmission categories","1,092","11.1","9,840"
"PrEP coverage and number of persons prescribed","2017","Maryland","24","13-24","All races/ethnicities","Both sexes","All transmission categories","421","7.1","5,970"
"PrEP coverage and number of persons prescribed","2019","Massachusetts","25","55+","All races/ethnicities","Both sexes","All transmission categories","870","24.7","3,520"
"PrEP coverage and number of persons prescribed","2019","Massachusetts","25","45-54","All races/ethnicities","Both sexes","All transmission categories","1,204","28.6","4,210"
"PrEP coverage and number of persons prescribed","2019","Massachusetts","25","35-44","All races/ethnicities","Both sexes","All transmission categories","2,003","31.1","6,440"
"PrEP coverage and number of persons prescribed","2019","Massachusetts","25","25-34","All races/ethnicities","Both sexes","All transmission categories","3,820","49.1","7,780"
"PrEP coverage and number of persons prescribed","2019","Massachusetts","25","13-24","All races/ethnicities","Both sexes","All transmission categories","1,416","48.0","2,950"
"PrEP coverage and number of persons prescribed","2018","Massachusetts","25","55+","All races/ethnicities","Both sexes","All transmission categories","696","19.8","3,520"
"PrEP coverage and number of persons prescribed","2018","Massachusetts","25","45-54","All races/ethnicities","Both sexes","All transmission categories","1,062","25.2","4,210"
"PrEP coverage and number of persons prescribed","2018","Massachusetts","25","35-44","All races/ethnicities","Both sexes","All transmission categories","1,580","24.5","6,440"
"PrEP coverage and number of persons prescribed","2018","Massachusetts","25","25-34","All races/ethnicities","Both sexes","All transmission categories","3,092","39.7","7,780"
"PrEP coverage and number of persons prescribed","2018","Massachusetts","25","13-24","All races/ethnicities","Both sexes","All transmission categories","1,191","40.4","2,950"
"PrEP coverage and number of persons prescribed","2017","Massachusetts","25","55+","All races/ethnicities","Both sexes","All transmission categories","479","17.9","2,680"
"PrEP coverage and number of persons prescribed","2017","Massachusetts","25","45-54","All races/ethnicities","Both sexes","All transmission categories","859","21.0","4,100"
"PrEP coverage and number of persons prescribed","2017","Massachusetts","25","35-44","All races/ethnicities","Both sexes","All transmission categories","1,145","20.4","5,610"
"PrEP coverage and number of persons prescribed","2017","Massachusetts","25","25-34","All races/ethnicities","Both sexes","All transmission categories","2,229","25.6","8,710"
"PrEP coverage and number of persons prescribed","2017","Massachusetts","25","13-24","All races/ethnicities","Both sexes","All transmission categories","797","19.8","4,020"
"PrEP coverage and number of persons prescribed","2019","Michigan","26","55+","All races/ethnicities","Both sexes","All transmission categories","373","13.5","2,770"
"PrEP coverage and number of persons prescribed","2019","Michigan","26","45-54","All races/ethnicities","Both sexes","All transmission categories","572","15.1","3,800"
"PrEP coverage and number of persons prescribed","2019","Michigan","26","35-44","All races/ethnicities","Both sexes","All transmission categories","893","20.2","4,420"
"PrEP coverage and number of persons prescribed","2019","Michigan","26","25-34","All races/ethnicities","Both sexes","All transmission categories","1,795","15.8","11,360"
"PrEP coverage and number of persons prescribed","2019","Michigan","26","13-24","All races/ethnicities","Both sexes","All transmission categories","725","10.0","7,230"
"PrEP coverage and number of persons prescribed","2018","Michigan","26","55+","All races/ethnicities","Both sexes","All transmission categories","286","10.3","2,770"
"PrEP coverage and number of persons prescribed","2018","Michigan","26","45-54","All races/ethnicities","Both sexes","All transmission categories","475","12.5","3,800"
"PrEP coverage and number of persons prescribed","2018","Michigan","26","35-44","All races/ethnicities","Both sexes","All transmission categories","678","15.3","4,420"
"PrEP coverage and number of persons prescribed","2018","Michigan","26","25-34","All races/ethnicities","Both sexes","All transmission categories","1,480","13.0","11,360"
"PrEP coverage and number of persons prescribed","2018","Michigan","26","13-24","All races/ethnicities","Both sexes","All transmission categories","557","7.7","7,230"
"PrEP coverage and number of persons prescribed","2017","Michigan","26","55+","All races/ethnicities","Both sexes","All transmission categories","192","7.1","2,720"
"PrEP coverage and number of persons prescribed","2017","Michigan","26","45-54","All races/ethnicities","Both sexes","All transmission categories","338","9.2","3,680"
"PrEP coverage and number of persons prescribed","2017","Michigan","26","35-44","All races/ethnicities","Both sexes","All transmission categories","441","8.9","4,960"
"PrEP coverage and number of persons prescribed","2017","Michigan","26","25-34","All races/ethnicities","Both sexes","All transmission categories","910","9.0","10,140"
"PrEP coverage and number of persons prescribed","2017","Michigan","26","13-24","All races/ethnicities","Both sexes","All transmission categories","377","5.4","7,020"
"PrEP coverage and number of persons prescribed","2019","Minnesota","27","55+","All races/ethnicities","Both sexes","All transmission categories","346","30.6","1,130"
"PrEP coverage and number of persons prescribed","2019","Minnesota","27","45-54","All races/ethnicities","Both sexes","All transmission categories","553","15.9","3,470"
"PrEP coverage and number of persons prescribed","2019","Minnesota","27","35-44","All races/ethnicities","Both sexes","All transmission categories","954","16.4","5,810"
"PrEP coverage and number of persons prescribed","2019","Minnesota","27","25-34","All races/ethnicities","Both sexes","All transmission categories","1,770","20.9","8,450"
"PrEP coverage and number of persons prescribed","2019","Minnesota","27","13-24","All races/ethnicities","Both sexes","All transmission categories","590","20.6","2,870"
"PrEP coverage and number of persons prescribed","2018","Minnesota","27","55+","All races/ethnicities","Both sexes","All transmission categories","254","22.5","1,130"
"PrEP coverage and number of persons prescribed","2018","Minnesota","27","45-54","All races/ethnicities","Both sexes","All transmission categories","471","13.6","3,470"
"PrEP coverage and number of persons prescribed","2018","Minnesota","27","35-44","All races/ethnicities","Both sexes","All transmission categories","777","13.4","5,810"
"PrEP coverage and number of persons prescribed","2018","Minnesota","27","25-34","All races/ethnicities","Both sexes","All transmission categories","1,460","17.3","8,450"
"PrEP coverage and number of persons prescribed","2018","Minnesota","27","13-24","All races/ethnicities","Both sexes","All transmission categories","521","18.2","2,870"
"PrEP coverage and number of persons prescribed","2017","Minnesota","27","55+","All races/ethnicities","Both sexes","All transmission categories","175","6.5","2,680"
"PrEP coverage and number of persons prescribed","2017","Minnesota","27","45-54","All races/ethnicities","Both sexes","All transmission categories","372","7.8","4,750"
"PrEP coverage and number of persons prescribed","2017","Minnesota","27","35-44","All races/ethnicities","Both sexes","All transmission categories","613","14.2","4,320"
"PrEP coverage and number of persons prescribed","2017","Minnesota","27","25-34","All races/ethnicities","Both sexes","All transmission categories","997","13.7","7,260"
"PrEP coverage and number of persons prescribed","2017","Minnesota","27","13-24","All races/ethnicities","Both sexes","All transmission categories","357","7.5","4,750"
"PrEP coverage and number of persons prescribed","2019","Mississippi","28","55+","All races/ethnicities","Both sexes","All transmission categories","86","20.0","430"
"PrEP coverage and number of persons prescribed","2019","Mississippi","28","45-54","All races/ethnicities","Both sexes","All transmission categories","143","23.8","600"
"PrEP coverage and number of persons prescribed","2019","Mississippi","28","35-44","All races/ethnicities","Both sexes","All transmission categories","194","21.3","910"
"PrEP coverage and number of persons prescribed","2019","Mississippi","28","25-34","All races/ethnicities","Both sexes","All transmission categories","353","25.2","1,400"
"PrEP coverage and number of persons prescribed","2019","Mississippi","28","13-24","All races/ethnicities","Both sexes","All transmission categories","176","14.7","1,200"
"PrEP coverage and number of persons prescribed","2018","Mississippi","28","55+","All races/ethnicities","Both sexes","All transmission categories","60","14.0","430"
"PrEP coverage and number of persons prescribed","2018","Mississippi","28","45-54","All races/ethnicities","Both sexes","All transmission categories","93","15.5","600"
"PrEP coverage and number of persons prescribed","2018","Mississippi","28","35-44","All races/ethnicities","Both sexes","All transmission categories","121","13.3","910"
"PrEP coverage and number of persons prescribed","2018","Mississippi","28","25-34","All races/ethnicities","Both sexes","All transmission categories","245","17.5","1,400"
"PrEP coverage and number of persons prescribed","2018","Mississippi","28","13-24","All races/ethnicities","Both sexes","All transmission categories","137","11.4","1,200"
"PrEP coverage and number of persons prescribed","2017","Mississippi","28","55+","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","420"
"PrEP coverage and number of persons prescribed","2017","Mississippi","28","45-54","All races/ethnicities","Both sexes","All transmission categories","85","12.5","680"
"PrEP coverage and number of persons prescribed","2017","Mississippi","28","35-44","All races/ethnicities","Both sexes","All transmission categories","84","9.8","860"
"PrEP coverage and number of persons prescribed","2017","Mississippi","28","25-34","All races/ethnicities","Both sexes","All transmission categories","161","9.6","1,680"
"PrEP coverage and number of persons prescribed","2017","Mississippi","28","13-24","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","1,390"
"PrEP coverage and number of persons prescribed","2019","Missouri","29","55+","All races/ethnicities","Both sexes","All transmission categories","330","20.6","1,600"
"PrEP coverage and number of persons prescribed","2019","Missouri","29","45-54","All races/ethnicities","Both sexes","All transmission categories","519","22.6","2,300"
"PrEP coverage and number of persons prescribed","2019","Missouri","29","35-44","All races/ethnicities","Both sexes","All transmission categories","702","18.8","3,740"
"PrEP coverage and number of persons prescribed","2019","Missouri","29","25-34","All races/ethnicities","Both sexes","All transmission categories","1,383","23.4","5,920"
"PrEP coverage and number of persons prescribed","2019","Missouri","29","13-24","All races/ethnicities","Both sexes","All transmission categories","545","11.3","4,810"
"PrEP coverage and number of persons prescribed","2018","Missouri","29","55+","All races/ethnicities","Both sexes","All transmission categories","230","14.4","1,600"
"PrEP coverage and number of persons prescribed","2018","Missouri","29","45-54","All races/ethnicities","Both sexes","All transmission categories","448","19.5","2,300"
"PrEP coverage and number of persons prescribed","2018","Missouri","29","35-44","All races/ethnicities","Both sexes","All transmission categories","565","15.1","3,740"
"PrEP coverage and number of persons prescribed","2018","Missouri","29","25-34","All races/ethnicities","Both sexes","All transmission categories","1,104","18.6","5,920"
"PrEP coverage and number of persons prescribed","2018","Missouri","29","13-24","All races/ethnicities","Both sexes","All transmission categories","380","7.9","4,810"
"PrEP coverage and number of persons prescribed","2017","Missouri","29","55+","All races/ethnicities","Both sexes","All transmission categories","174","9.2","1,890"
"PrEP coverage and number of persons prescribed","2017","Missouri","29","45-54","All races/ethnicities","Both sexes","All transmission categories","332","15.4","2,160"
"PrEP coverage and number of persons prescribed","2017","Missouri","29","35-44","All races/ethnicities","Both sexes","All transmission categories","405","13.3","3,040"
"PrEP coverage and number of persons prescribed","2017","Missouri","29","25-34","All races/ethnicities","Both sexes","All transmission categories","714","9.6","7,440"
"PrEP coverage and number of persons prescribed","2017","Missouri","29","13-24","All races/ethnicities","Both sexes","All transmission categories","262","5.4","4,890"
"PrEP coverage and number of persons prescribed","2019","Montana","30","55+","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","300"
